bobble,குமிழ்
flirt,உல்லாசமாக
flirtatious,கடலை
filmy,திரைப்படம்
bollywood,பாலிவுட்
cinema,சினிமா
hindi,இந்தி
relationships,உறவுகள்
pyar,காதல்
dl,dl
zindagi,zindagi
hai,என்பது
dialogue,உரையாடல்
dialog,உரையாடல்
mohabbat,mohabbat
lovesick,லவ்ஸிக்
chance,வாய்ப்பு
stake,பங்கு
risk,ஆபத்து
kuch,சில
by,வழங்கியவர்
mera,மேரா
limit,அளவு
main,பிரதான
hearts,இதயங்கள்
rule,ஆட்சி
pyaar ke rules,அன்பின் விதிகள்
friendzone,நண்பர் மண்டலம்
friendzoned,நண்பன்
diwana,பைத்தியம்
mad,பைத்தியம்
ole,இல்லை
bole,என்கிறார்
saif,சைஃப்
saif ali khan,சைஃப் அலிகான்
tera,தேரா
jab bhi,எப்போது
see,பார்க்க
dekhu,பார்
ladka,பையன்
bike,உந்துஉருளி
hitting,தாக்கியது
hitting on,மீது மோதி
aur,தங்கம்
dono,எது
thai ishqiya,தாய் இஷ்கியா
baccha,குழந்தை
hai jee,ஹை
empty,காலியாக
pockets,பைகளில்
paisa,பணம்
cashless,பணமில்லாது
staff,ஊழியர்கள்
later,பின்னர்
diwali,தீபாவளி
professional,தொழில்முறை
prediwali,prediwali
diwali party,தீபாவளி விருந்து
card party,அட்டை விருந்து
ethnic wear,இன உடைகள்
traditional wear,பாரம்பரிய உடைகள்
traditional,பாரம்பரிய
festive,பண்டிகை
festive wear,பண்டிகை உடைகள்
daru,ஒரு பரிசு
sharab,மது
alocohol,ஆல்கஹால்
kurta pyjama,குர்தா பைஜாமா
where,எங்கே
cardparty,அட்டை
say,சொல்
to,க்கு
crackers,பட்டாசுகள்
slogan,கோஷம்
deepawali,தீபாவளி
dipawali,தீபாவளி
cards,அட்டைகள்
couple,ஜோடி
rangoli,ரங்கோலி
stay,தங்க
away,தொலைவில்
diya,கொடுக்கப்பட்டுள்ளது
lamps,விளக்குகள்
diwlai celebration,தீபாவளி கொண்டாட்டம்
maa,நிலம்
mata,கண்
housewide,வீடு முழுவதும்
safai,தூய்மை
ghar,வீடு
house,வீடு
house cleaning,வீடு சுத்தம்
diwali cleaning,தீபாவளி சுத்தம்
karega,செய்வேன்
ki,இல்
daughter,மகள்
sahab,ஐயா
housekeeper,வீட்டுக்காப்பாளர்
cleaner,கிளீனர்
diwlai,தயவுசெய்து
bonus,போனஸ்
diwali bonus,தீபாவளி போனஸ்
bucket,வாளி
cleaning,சுத்தம்
broom,துடைப்பம்
jhaduu,jhaduu
diwali shopping,தீபாவளி ஷாப்பிங்
with,உடன்
be like,அது போல
bags,பைகள்
shopping bags,ஷாப்பிங் பைகள்
missing,காணவில்லை
miss,செல்வி
miss you,உன்னை இழக்கிறேன்
yaad,நினைவில் கொள்ளுங்கள்
ghar ki yaad,வீட்டை நினைவில் கொள்க
nostalgia,ஏக்கம்
nostalgic,ஏக்கம்
baksheesh,பக்ஷீஷ்
paise,பணம்
superstar,சூப்பர் ஸ்டார்
stage,நிலை
mic,மைக்
singer,பாடகர்
melodies,மெல்லிசை
perform,செய்ய
gig,கிக்
star,நட்சத்திரம்
band,இசைக்குழு
rockband,ராக் பேண்ட்
musician,இசைக்கலைஞர்
spotlight,ஸ்பாட்லைட்
goodwork,நல்ல வேலை
well,நன்றாக
done,முடிந்தது
welldone,வெல்டோன்
good job,நல்ல வேலை
acha,சிந்தியுங்கள்
sun,சூரியன்
surf,சர்ஃப்
surfboard,சர்போர்டு
surfing,உலாவல்
shining,பிரகாசிக்கிறது
waves,அலைகள்
swiming,நீச்சல்
swimwear,நீச்சலுடை
swimsuit,நீச்சலுடை
goa,கோவா
beaches,கடற்கரைகள்
usic,usic
performance,செயல்திறன்
acha kaam,நல்ல வேலை
ha,உள்ளது
hell,நரகம்
burn,எரிக்க
burning,எரியும்
laughing,சிரித்து
interaction,தொடர்பு
talk,பேச்சு
old,பழையது
days,நாட்கள்
memory,நினைவு
college,கல்லூரி
cowboy,கவ்பாய்
cowboy hat,கவ்பாய் தொப்பி
cowboy boots,கவ்பாய் பூட்ஸ்
boots,பூட்ஸ்
dessert,இனிப்பு
hat,தொப்பி
fighting,சண்டை
goodnight,குட்நைட்
night,இரவு
dreams,கனவுகள்
sweetdreams,sweetdreams
moon,நிலா
dark,இருள்
stars,நட்சத்திரங்கள்
the moon,நிலவு
clouds,மேகங்கள்
sky,வானம்
end,முடிவு
scare,பயம்
scray,ஸ்க்ரே
boo,பூ
ghost,பேய்
land,நில
scarecrow,ஸ்கேர்குரோ
shock,அதிர்ச்சி
surprise,ஆச்சரியம்
zombie,ஜாம்பி
hahaha,ஹஹஹா
laughter,சிரிப்பு
wicked laugh,பொல்லாத சிரிப்பு
scary,பயமாக இருக்கிறது
tight,இறுக்கம்
honey,தேன்
grilfriend,காதலி
college days,கல்லூரி நாட்கள்
older,பழையது
young,இளம்
younger,இளையவர்
retro,ரெட்ரோ
yearn,ஏங்குகிறது
booo,பூ
witch,சூனியக்காரி
flying,பறக்கும்
ghosts,பேய்கள்
spooky,பயமுறுத்தும்
chudail,சூனியக்காரி
shinning,பிரகாசிக்கிறது
bright,பிரகாசமான
frieds,வறுத்தவை
really,உண்மையில்
chat,அரட்டை
friendships,நட்பு
stunned,திகைத்துப்போனது
hmmm,ஹ்ம்ம்
hmm,ஹ்ம்
pondering,சிந்திக்கிறது
contemplating,சிந்தித்துப் பார்க்கிறது
think,சிந்தியுங்கள்
thoughtful,சிந்தனைமிக்க
thoughts,எண்ணங்கள்
hahah,hahah
bahaha,பஹாஹா
joking,நகைச்சுவை
hansna,சிரிக்க
thanks,நன்றி
thank you,நன்றி
thank,நன்றி
help,உதவி
welcome,வரவேற்பு
thanking,நன்றி
get,பெறு
get out,வெளியே போ
chakra,சக்ரா
go,போ
fuck off,ஃபக் ஆஃப்
superhero,சூப்பர் ஹீரோ
whatsup,என்ன விஷயம்
ssup,ssup
whaddup,whaddup
whatup,whatup
watsup,watsup
happing,மகிழ்ச்சி
opening,திறப்பு
coversation,உரையாடல்
start,தொடங்கு
converse,உரையாடல்
free,இலவசம்
freebird,ஃப்ரீபேர்ட்
freedom,சுதந்திரம்
break,உடைக்க
jatt,ஜாட்
fly,ஈ
air,காற்று
super,அருமை
stoned,கல்லெறிந்தார்
starter,ஸ்டார்டர்
solar,சூரிய
