sunday hai aaj,संडे है आज
chhik,छींक
sikh,सिख
aajkavichaar,ाजकविचार
vichaar,vichaar
qoutes,उद्धरण
pradushan,प्रदुषण
aajkavichar,aajkavichar
Ujdachaman,उजड़ेचमं
bald,गंजा
takla,कलाबाज़ी
bala,बिना
dabanng,दबंग
dabbang,dabbang
guruparv,गुरुपर्व
nanaksaheb,नानकसाहेब
nanaknaam,Nanaikinam
gurunanakjayanti,गुरुनानकजयंति
nehruji,नेहरूजी
nametattoo,टैटू
boytattoo,boytattoo
marryme,मुझसे शादी कर लो
briidle,briidle
navy,नौसेना
HumanRights,मानवाधिकार
insaaf,इन्साफ
adhikaar,सही
thhand,thhand
adarak,अदरक
mng,MNG
shadi,शादी
adhikar,अधिकार
nyaya,न्याय
nya,नई
samanata,समानता
pyala,प्याला
pratah,प्रातः
chaai,चाय
WFH,WFH
oss,हमें
hali,स्थिति
zikham,खाम
3idiot,क्रिसमस बोनस
bacchcha,बछ्छ
hashi,पुल
majak,मजाक
chill goa,ठंड लगना
forkyou,त्रिशूलसे मारना
faty,faty
bhukkad,भुक्कड़
feelinglow,उदास होना
yesorno,yesorno
quetion,सवाल
patra,Patras
kisan,दौड़
farmar,farmar
srinivasa,श्रीनिवास
ramanujan,रामानुजन
merrychristmas,क्रिसमस की बधाई
hohoho,hohoho
1st,1 प्रतिशत
31st,31
athome,घर पर
peepawali,peepawali
rehpta,rehpta
rapata,रॉबर्ट
chaalan,चालान
chalan,बालक
2020,2020
gobind,गोबिंद
aaachhoooo,आउछूओ
not well,ठीक नहीं
kya h,क्या ह
bol na,चालू था
bht kaam hai,भट काम है
mil kar,मिल कर
mil,हज़ार
muhaa,खाली समय
mhaa,mhaa
you melt,तुम पिघलते हो
dil pighal gaya,दिल पिघल गया
zindgi,ज़िंदगी
love is life,प्यार ही जीवन है
luv life,लव लाइफ
lots of kisses,बहुत सारे चुंबन
muwah,दवा
muuhha,muuhha
Dekh pagli,देख पगली
love joke,प्यार का मज़ाक
pyar ho jayega,प्यार हो जायेगा
make joke,मजाक करना
no limit,कोई सीमा नहीं
without limits,जिसकी सीमा नहीं
luv you,तुमसे प्यार है
Happy Birthday Hrithik,हैप्पी बर्थडे रितिक
hrithik birthday,रितिक का जन्मदिन
hrithik,रितिक
Happy b'day,जन्मदिन की शुभकामनाएं
Hrithik b'day,ऋतिक b'day
10th jan,10 वां जन
lohdi,लोहड़ी
lohadi,lohadi
makarsankrati,makarsankrati
youthday,युवा दिवस
vivekanandajayanti,विवेकनन्दाजायन्ति
26th,26 वें
janauary,जनवरी
swadeshi,स्वदेशी
gantantra,गणतंत्र
matrimony,विवाह
matrimonial,वैवाहिक
kone,मशीन
biba,biba
Biye,बीआई भी
bibaho,शादी
bodhu,दुल्हन
khujchen,की तलाश कर रहे हैं
porinoy,हैमेन
chele,लड़का
biyer,शादी
jibonshongi,होल्डिंग तकनीक
jeewansathi,जीवनसाथी
ABP,एबीपी
shubhratri,शुभरात्रि
wa,योग
mistha,मिष्ठा
meetha,मीठा
nav vadhu,नौ और
var,था
vadhushodh,वधूशोध
lagn,शादी
muli,फिर
shodhat,shodhat
ABP Weddings,एबीपी शादियाँ
chaha,चाहा
caha,Caha
','
vasant,वसंत
basant,आधारित
world cancer day,विश्व कैंसर दिवस
be strong,मजबूत बनो
Happy Teddy Day,हैप्पी टेडी डे
Happy Kiss Day,हैप्पी चुंबन दिवस
Love You Baby,मैं आपको प्यार करता हूँ
i miss you,मुझे आप की याद आती है
i am sorry,मुझे क्षमा करें
maaf kardo,मुझे क्षमा करें
hi sweetu,ही स्वीटू
i am yours,मैं तुम्हारा हूँ
iloveu,iloveu
valentines day,वैलेंटाइन दिवस
14th feb,14 वां फेब
love week,प्यार का सप्ताह
kissed,चूमा
soosoo,सहयोग
ful,ful
flowrers,फूल
cheff,Cheff
i love you too,मैं भी तुमसे प्यार करता हूं
dairy milk,डेयरी मिल्क
on way,रास्ते में
love you too,मैं भी तुमसे प्यार करता हूं
prpmise day,वादा दिन
forever together,हमेशा के लिए एक साथ
happy hug day,गले मिलो दिवस की शुभकामनाएं
hug me,मुझे गले लगाओ
chummah,चुम्मः
pinky promise,पिंकी प्रोमिस
together forever,एक साथ हमेशा के लिए
waving hand,लहराता हुआ हाथ
of course,बेशक
absolutely,पूर्ण रूप से
uh-huh,अहां
jogging,जॉगिंग
yawn,जंभाई
home work,घर का पाठ
hey wassup,हाय क्या चल रहा है
greate,greate
grocery time,किराने का समय
chill book,सर्द किताब
tution,tution
sweet dreams,प्यारे सपने
what you doin,आप क्या कर रहे हो
how you doin,तुम कैसे हो
waddup,waddup
great job,अच्छा काम
Mind blowing,उड़ाने मन
wasup,जगा हुआ था
see you,फिर मिलते हैं
bbye,bbye
take care,ख्याल रखना
takeoff,उड़ना
goodl luck,सौभाग्य
happy shivratri,शिवरात्रि की शुभकामनाएँ
shiv ji,शिव जी
bhole nath,भोले नाथ
maha dev,महा देव
new york,न्यूयॉर्क
let's play holi,चलो होली खेलते हैं
bura na mano holi hai,बुरा न मानो होली है
gujiya,गुजिया
holi shit,होली की धूम
poty,Poty
karona,की वजह से
virus,वाइरस
covid,कोविड
china,चीन
bimari,बीमारी
carona,Carona
face mask,चेहरे का नकाब
corona virus,कोरोना वाइरस
covin-19,Covin -19
covin,Covin
janta curfew,जनता कर्फ्यू
curfew,निषेधाज्ञा
jai maa,इंग पानी
maa durga,माँ दुर्गा
stay home,घर पर रहना
kanjake,रोगी का घर
jor se bolo,जोर से बोलो
pyaaz,प्याज
pyaz,प्याज़
ullu banaya,उल्लू बनाया
khotta,खोटा
bevkoof,बेवकूफ
dumboo,dumboo
hawa ane de,वायु और दिन
sex,लिंग
dirtytalks,गंदी बातें
gandibaat,gandibaat
boobs,स्तन
dickpick,dickpick
dick,लिंग
18plus,18plus
ungali,मना मत करो
campa,कैम्पा
bachaa,bachaa
ghapaghap,ghapaghap
footprint,पदचिह्न
chummaa,chummaa
jummaa,समुदाय
candal,Candal
wallnuts,wallnuts
choodi,Cudi
bangals,bangals
chudiayan,होए अयान
cokacola,कोका कोला
vehicle,वाहन
tampoo,tampoo
londaon,londaon
ghantaghar,घंटाघर
gandi baat,चमगादड़ सैनिक
baate,बाते
lets talk,चल बात करते है
video call,वीडियो कॉल
ghosala,घोसला
bhens,भैंस
buffelo,Buffelo
khira,खीरा
cacumber,खीरा
shampoo,शैम्पू
momo,आड़ू
four,चार
n,n
aach,Aach
fecture,fecture
raghunath,रघुनाथ
ramji,रामजी
jai ram,जी राम
Work from home,घर से काम
lockdown,लॉकडाउन
broadband,ब्रॉडबैंड
low network,कम नेटवर्क
karfue,कर्फूय
skype,स्काइप
Quarentine,कोरांटीन
being useless,बेकार होना
diyaa,जिया
deeya,दीया
diye,कि
ramayan,रामायण
avashaya,avashaya
laxman,लक्ष्मण
kadapi nahi,कदापि नहीं
tathastu,तथास्तु
krishn,कृष्ण
mahabharat,महाभारत
kriishna,कृष्णा
minut,मिनट
shan,पहाड़
kans,अवसर
asanbhav,असंभव
mackup,मकूप
meckup,meckup
Hanuman ji,हनुमान जी
bajrangbali,बजरंगबली
hanuman jayanti,हनुमान जयंती
Skills,कौशल
gloomy,उदास
horrid,भयंकर
somber,मलिन
terrible,भयानक
glum,उदास
bleak,बेरंग
ominous,अमंगल
tv show,टीवी शो
joyful,आनंदपूर्ण
upbeat,उत्साहित
terror,आतंक
panic,घबड़ाहट
chiller,चिलर
fright,भय
detestation,नक़रत
pal,दोस्त
defender,रक्षक
guardian angel,रक्षक फरिश्ता
