bobble,Bobble
hitting,హిట్టింగ్
hitting on,కొట్టడం
aur,బంగారు
dono,ఎలా
thai ishqiya,థాయ్ ఇష్కియా
baccha,బేబీ
hai jee,G
empty,ఖాళీ
pockets,జేబులు
paisa,డబ్బు
cashless,నగదు రహిత
staff,సిబ్బంది
later,తరువాత
diwali,దివాలీ
professional,ప్రొఫెషనల్
prediwali,prediwali
diwali party,దీపావళి పార్టీ
card party,కార్డ్ పార్టీ
ethnic wear,జాతి దుస్తులు
traditional wear,సాంప్రదాయ దుస్తులు
traditional,సంప్రదాయకమైన
festive,పండుగ
festive wear,పండుగ దుస్తులు
daru,బహుమతి
sharab,వైన్
alocohol,మద్యం
kurta pyjama,కుర్తా పైజామా
where,ఎక్కడ
cardparty,cardparty
say,సే
to,కు
crackers,క్రాకర్లు
slogan,నినాదం
deepawali,ప్రకాశం
dipawali,ప్రకాశం
cards,కార్డులు
couple,జంట
rangoli,రంగోలి
stay,బస
away,దూరంగా
diya,ది
lamps,దీపములు
diwlai celebration,దీపావళి వేడుక
maa,భూమి
mata,కన్ను
housewide,housewide
safai,క్లీనింగ్
ghar,ఇల్లు
house,హౌస్
house cleaning,ఇల్లు శుభ్రపరచడం
diwali cleaning,దీపావళి శుభ్రపరచడం
karega,చేస్తాను
ki,ఆఫ్
daughter,కుమార్తె
sahab,బాస్
housekeeper,ఇంటిలో
cleaner,క్లీనర్
diwlai,diwlai
bonus,అదనపు
diwali bonus,దీపావళి బోనస్
bucket,బకెట్
cleaning,శుభ్రపరచడం
broom,చీపురు
jhaduu,jhaduu
diwali shopping,దీపావళి షాపింగ్
with,తో
be like,ఇలా ఉండండి
bags,సంచులు
shopping bags,షాపింగ్ బ్యాగులు
missing,తప్పిపోయిన
miss,మిస్
miss you,మిస్ మిస్
yaad,గుర్తుంచుకో
ghar ki yaad,ఇంటిని గుర్తుంచుకో
nostalgia,నోస్టాల్జియా
nostalgic,వ్యామోహం
baksheesh,baksheesh
paise,డబ్బు
superstar,సూపర్స్టార్
stage,రంగస్థల
mic,సమయపు
singer,గాయకుడు
melodies,శ్రావ్యమైన
perform,నిర్వహించడానికి
gig,ప్రదర్శన
star,స్టార్
band,బ్యాండ్
rockband,రాక్ బ్యాండ్
musician,సంగీతకారుడు
spotlight,స్పాట్లైట్
goodwork,మంచి పని
well,బాగా
done,పూర్తి
welldone,భలే
good job,మంచి ఉద్యోగం
acha,అనుకుంటున్నాను
sun,సూర్యుడు
surf,సర్ఫ్
surfboard,సర్ఫ్
surfing,సర్ఫింగ్
shining,మెరుస్తూ
waves,తరంగాలు
swiming,ఈత
swimwear,ఈత దుస్తుల
swimsuit,స్విమ్సూట్ను
goa,గోవా
beaches,బీచ్లు
usic,USIC
performance,ప్రదర్శన
acha kaam,మంచి పని
ha,అతను ఉంది
hell,నరకం
burn,బర్న్
burning,బర్నింగ్
laughing,నవ్వుతూ
interaction,పరస్పర
talk,చర్చ
old,పాత
days,రోజులు
memory,మెమరీ
college,కాలేజ్
cowboy,కౌబాయ్
cowboy hat,కౌబాయ్ టోపీ
cowboy boots,కౌబాయ్ బూట్లు
boots,బూట్లు
dessert,భోజనానికి
hat,టోపీ
fighting,పోరాట
goodnight,గుడ్నైట్
night,రాత్రి
dreams,కలలు
sweetdreams,మంచి కలలు
moon,చంద్రుడు
dark,కృష్ణ
stars,నక్షత్రాలు
the moon,చంద్రుడు
clouds,మేఘాలు
sky,ఆకాశంలో
end,ముగింపు
scare,భయ పెట్టు
scray,scray
boo,అరె
ghost,దెయ్యం
land,భూమి
scarecrow,దిష్టిబొమ్మ
shock,షాక్
surprise,ఆశ్చర్యం
zombie,జోంబీ
hahaha,hahaha
laughter,నవ్వు
wicked laugh,చెడ్డ నవ్వు
scary,భయానకంగా
tight,గట్టి
honey,తేనె
grilfriend,స్నేహితురాలు
college days,కళాశాల రోజులు
older,పాత
young,యువ
younger,యువ
retro,రెట్రో
yearn,గాఢంగా కాంక్షించు
booo,booo
witch,మంత్రగత్తె
flying,ఎగురుతున్న
ghosts,దయ్యాలు
spooky,భయానకం
chudail,మంత్రగత్తె
shinning,స్లైడింగ్
bright,బ్రైట్
frieds,Frieds
really,నిజంగా
chat,చాట్
friendships,స్నేహాలు
stunned,ఆశ్చర్యపోయానని
hmmm,మ్
hmm,అయ్యో
pondering,పంక్తి
contemplating,ఆలోచనలో
think,అనుకుంటున్నాను
thoughtful,శ్రద్ద
thoughts,ఆలోచనలు
hahah,hahah
bahaha,bahaha
joking,హాస్యంగా
hansna,నవ్వడానికి
thanks,ధన్యవాదాలు
thank you,ధన్యవాదాలు
thank,ధన్యవాదాలు
help,సహాయం
welcome,స్వాగత
thanking,కృతజ్ఞతలు
get,గెట్
get out,బయటకి పో
chakra,చక్ర
go,వెళ్ళండి
fuck off,ఫక్ ఆఫ్
superhero,సూపర్ హీరో
whatsup,ఏమిటి సంగతులు
ssup,SSUP
whaddup,whaddup
whatup,whatup
watsup,watsup
happing,happing
opening,ప్రారంభ
coversation,సంభాషణ
start,ప్రారంభం
converse,విపర్యం
free,ఉచిత
freebird,Freebird
freedom,స్వేచ్ఛ
break,విరామం
jatt,జట్
fly,ఎగురు
air,ఎయిర్
super,సూపర్
stoned,రాళ్ళు రువ్వి
starter,స్టార్టర్
solar,సౌర
activate,సక్రియం
functionality,కార్యాచరణ
character,పాత్ర
powerful,శక్తివంతమైన
stronger,బలమైన
like,వంటి
lve,lve
flirting,సరసాలాడుట
flatter,బల్లపరుపుగా
u,లో
affair,వ్యవహారంలో
caught,క్యాచ్
ya,ది
caught you,మిమ్మల్ని పట్టుకుంది
pakad,హోల్డ్
liye,కోసం
he,అతను
everyday,ప్రతి రోజు
howdy,హౌడీ
namaste,హలో
group chat,సమూహ చాట్
feel,అనుభూతి
strength,బలం
attack,దాడి
protector,రక్షక
bored,విసుగు
m,m
boring,బోరింగ్
plans,ప్రణాళికలు
run,రన్
running,నడుస్తున్న
zap,చంపి వేయు
zoom,జూమ్
storm out,తుఫాను బయటకు
exit,బయటకి దారి
go away,వెళ్ళిపో
dissappear,dissappear
leave,సెలవు
have,కలిగి
a,ఒక
plan,ప్రణాళిక
planning,ప్రణాళిక
idea,ఆలోచన
trick,ట్రిక్
plan of action,కార్యాచరణ ప్రణాళిక
tvf pitchers,టీవీఎఫ్ బాదగల
pitchers,బాదగల
beer,బీర్
tvf,tvf
viral,వైరల్
peeney,మద్యపానం
peena,త్రాగడానికి
bhati,భట్టి
navin,నవీన్
navin bansal,నవీన్ బన్సాల్
glass,గ్లాస్
hun,వారి
bansal,బన్సల్
botal,బాటిల్
nikla,నికెల్
bahunga,Bahoonga
hoon,హూ
behna,behna
behunga,వారు సంప్రదిస్తున్నారు
bahar,స్ప్రింగ్టైమ్
invest,పెట్టుబడి
investor,పెట్టుబడిదారు
funding,నిధులు
drunk night,తాగిన రాత్రి
height,ఎత్తు
sexism,సెక్సిజం
of,ఆఫ్
gunda,గుండా
entrepreneur,వ్యవస్థాపకుడు
startup,మొదలుపెట్టు
invester,invester
presentation,ప్రదర్శన
ladki,అమ్మాయి
tum,తుమ్
kyu,క్యూ
why,ఎందుకు
boygang,boygang
boys,అబ్బాయిలు
let,వీలు
going,వెళ్తున్నారు
leaving,వదిలి
privacy,గోప్యతా
mail,మెయిల్
myth,పురాణం
owners,యజమానులు
men,పురుషులు
email,ఇమెయిల్
letter,లేఖ
smartass,smartass
smart ass,స్మార్ట్ గాడిద
work culture,పని సంస్కృతి
workplace,కార్యాలయంలో
pechkas,pechkas
app,అనువర్తనం
khoj,శోధన
discover,కనుగొనండి
idiotic,idiotic
old man,ముసలివాడు
tease,బాధించటం
never,ఎప్పుడూ
quit,విడిచి
back down,వెనుకకు
failure,వైఫల్యం
motivation,ప్రేరణ
motivator,ప్రేరేపించి
chutiya,క్యూ
fucker,fucker
wearing,ధరించి
serious,తీవ్రమైన
specs,స్పెక్స్
papa,పాపా
fail,Fail
toh do,తోహ్ చేయండి
mauka,చాన్స్
dad,తండ్రి
pissed,pissed
annoyed,కోపం
joint,ఉమ్మడి
doobie,డూబీ
family,కుటుంబం
chitwan,Chitwan
chitvan,Chitwan
chanchal,చంచల్
logo,లోగో
