ribbions,റാബിയോൺസ്
fancy super hero,ഫാൻസി സൂപ്പർ ഹീറോ
bore pump,ബോറെ പമ്പ്
village man,ഗ്രാമത്തിലെ മനുഷ്യൻ
baby tiger,കുഞ്ഞ് കടുവ
tigeress,തിഗെരെഷ്
shair,shair
tupaki,കണ്ടുമുട്ടുക
tape recorder,ടേപ്പ് റെക്കോർഡർ
tape,ടേപ്പ്
jonny bravo,ജോണി ബ്രാവോ
miss incredible,അവിശ്വസനീയമായ മിസ്
green character,പച്ച പ്രതീകം
green fancy dress,പച്ച ഫാൻസി വസ്ത്രധാരണം
masterchefs,മാസ്റ്റർചെഫുകൾ
bread man,റൊട്ടി മനുഷ്യൻ
batman costume,ബാറ്റ്മാൻ വേഷം
chinese clothes,ചൈനീസ് വസ്ത്രങ്ങൾ
chandi chowk to china,ചാന്ദ്‌നി ച ow ക്ക് ടു ചൈന
green lantern costume,പച്ച വിളക്ക് വേഷം
green lantern ki poshak,പച്ച വിളക്ക് വസ്ത്രധാരണം
ghost rider,ഗോസ്റ്റ് റൈഡർ
goluu,ഗോൾഫ്
blue ball,നീല പന്ത്
under wear,അടിവസ്ത്രം
justin beiber,ജസ്റ്റിൻ ബീബർ
peace locket,സമാധാന ലോക്കറ്റ്
boy with guitar,ഗിത്താർ ഉള്ള പയ്യൻ
x men costume,x പുരുഷന്മാരുടെ വസ്ത്രധാരണം
plak,രേഖ
bandok,ബാൻ‌ഡോക്ക്
brain tshirt,ബ്രെയിൻ ഷർട്ട്
fences,വേലി
jutil,ജുതില്
handwash,കൈ കഴുകാനുള്ള
tissue box,ടിഷ്യു ബോക്സ്
tissue paper,ടിഷ്യു പേപ്പർ
tara,കോഡ്
bat girl dress,ബാറ്റ് പെൺകുട്ടി വസ്ത്രധാരണം
kirt,കുർട്ട്
kalai bandh,കൈത്തണ്ട ബന്ധിപ്പിക്കുക
catori,ഉപയോക്താക്കൾ
ande,കുറഞ്ഞ
chiriya,പക്ഷി
challa,ചല്ല
sea shells,കടൽ ഷെല്ലുകൾ
palatte,ഫ്ലിപ്പുചെയ്യുന്നു
bibs,ബിബ്സ്
kuchhi,ചിലത്
scrue,സ്ച്രുഎ
hathauri,ചുറ്റിക
cylinder,സിലിണ്ടർ
kadai,വെല്ലുവിളികൾ
huggies,ആലിംഗനം
khilaune,കളിപ്പാട്ടങ്ങൾ
potty tray,പൊട്ടൻ ട്രേ
toilet kagaj,ടോയ്‌ലറ്റ് കഗാജ്
potty dabba,പൊട്ട ഡബ്ബ
neck band,നെക്ക് ബാൻഡ്
gala bandh,ഗാല ബന്ദ്
spegdy,സ്‌പെഗ്ഡി
samchar patra,ആശയവിനിമയ കത്ത്
wood box,മരം പെട്ടി
lakadi ka dabba,തടികൊണ്ടുള്ള കേസ്
gulad,ഗുലദ്
steering,സ്റ്റിയറിംഗ്
gula,ഗുല
dhanus,ധനുഷ്
champane,ഛംപനെ
uphaar,സമ്മാനം
aerrow,എയ്‌റോ
coffie,കോഫി
tobacco,പുകയില
calender,കലണ്ടർ
switch,സ്വിച്ചുചെയ്യുക
charger,ചാർജർ
marie go round,മാരി ചുറ്റിക്കറങ്ങുക
salwwar,സാൽവാർ
salwar kameex,സൽവാർ കമീസ്
jug water,ജഗ് വാട്ടർ
mithaiyaan,മധുരപലഹാരങ്ങൾ
thela,എനിക്ക് വേണം
paintings,പെയിന്റിംഗുകൾ
bely,bely
golgappal,ഗോൾഗപ്പാൽ
lollipop,ലോലിപോപ്പ്
jala,കാൽ
anghooti,അന്ഘൊഒതി
angooti,മോതിരം
pine apple,കൈതച്ചക്ക
anghootiyan,അന്ഘൊഒതിയന്
doughnut,ഡോണട്ട്
donoght,ഡോണട്ട്
naqsha,പ്ലാൻ
stickers,സ്റ്റിക്കറുകൾ
attaichi,1 ഉണ്ടായിരുന്നു
takhta,സിംഹാസനം
dialogue box,ഡയലോഗ് ബോക്സ്
sate,satay
makanan,ഭക്ഷണം
masakan,പാചകം
madura,മധുര
gudeg,.ഷ്മളമായ
jogja,ജോഗ്ജ
solo,സോളോ
pempek,pempek
palembang,പാലെംബാംഗ്
nasigorengmawut,നസിഗൊരെന്ഗ്മവുത്
nasigoreng,നസിഗൊരെന്ഗ്
jawatimur,ജവതിമൂർ
Gadogado,ഗഡോഗാഡോ
jakarta,ജക്കാർത്ത
tumpeng,കോൺ
jawa,ജാവ
baso,ബാസ്
bakso,മീറ്റ്ബോൾസ്
malang,നിർഭാഗ്യകരമാണ്
masakanan,ഭക്ഷണം
ikanbakar,കമ്പക്കർ
manado,മാനഡോ
ikan,മത്സ്യം
keraktelur,സ്ട്രെച്ചർ
rendang,rendang
sumatera,സുമാത്ര
ayam,ചിക്കൻ
betutu,betutu
ayambetutu,ഒരിക്കലും പരാജയപ്പെടുന്നില്ല
bali,ബാലി
papeda,പപ്പേഡ
papua,പപ്പുവ
shankar,ശങ്കർ
nag,നാഗ്
panchami,പഞ്ചമി
bani,പണം
sairs,സെയേഴ്സ്
hasle,ഹാസിൽ
chalega,ഓടും
bhn,bhn
friendship day,സൗഹൃദ ദിനം
frnd,frnd
Ola,ഓല
jokes,തമാശകൾ
rishtedari,രക്തബന്ധം
meme,മെമ്മെ
SMP,മിഡിൽ സ്കൂൾ
SMA,ഹൈസ്കൂൾ
sekolah,സ്കൂൾ
generasipenerus,ജനറസിപെനെറസ്
TNI,TNI
tentara,സൈന്യം
angkatanudara,വ്യോമസേന
TNIAU,ടിഎൻ‌ടി‌എസ്
Hari kemerdekaan,സ്വാതന്ത്ര്യദിനം
tujuhbelasan,തുജുഹ്ബെലസന്
upacara,ചടങ്ങ്
paskibraka,പാസ്കിബ്രാക്ക
bendera merah putih,ചുവപ്പും വെള്ളയും പതാക
veteran,വെറ്ററൻ
tujuh belasan,ഏഴ് ഡസൻ
angkatan udara,വ്യോമസേന
angkatan darat,സൈന്യം
angkatan laut,നേവി
presiden,പ്രസിഡന്റ്
anak sekolah,സ്കൂൾ കുട്ടി
Pramuka,സ്കൗട്ടിംഗ്
tunas kelapa,തേങ്ങ ചിനപ്പുപൊട്ടൽ
berkemah,ക്യാമ്പിംഗ് .ട്ട്
semaphore,സെമാഫോർ
slum,ചേരി
millionare,കോടീശ്വരൻ
millonare,കോടീശ്വരൻ
perlombaan,ഓട്ടം
nyanyi,പാടുക
indonesiaraya,ഇന്തോനേഷ്യ
balon,ബലൂണ്
kanhiya,കൻഹയ്യ
independence day,സ്വാതന്ത്യദിനം
krishan,ക്രിഷൻ
kanha,kanha
marrige,വിവാഹം
farmville,വയലുള്ള
hindustan,ഹിന്ദുസ്ഥാൻ
asia,ഏഷ്യ
2018,2018
tenis,ടെന്നീസ്
annabelle,annabelle
deshbhakti,ദേശസ്നേഹം
model,മോഡൽ
viral pose,വൈറൽ പോസ്
tell me,എന്നോട് പറയൂ
gapati,ഗപതി
chathurthi,chathurthi
festivle,ഉത്സവം
annabele,annabelle
200,200
new note,പുതിയ കുറിപ്പ്
rs,rs
onam,ഓണം
bandookbaaz,ഷോട്ട്ഗൺ
pvr,പിവിആർ
ram rahim,ഗർഭാശയ ആട്ടുകൊറ്റൻ
asharam,ആശാരം
rampal,റാംപാൽ
genius,പ്രതിഭ
puzzle,പസിൽ
rahim,റഹിം
gurmit,ഗുർമീത്
sentencing,ശിക്ഷ
security,സുരക്ഷ
guard,കാവൽ
hockey',ഹോക്കി '
chak de,ഓരോ രണ്ട്
alert,അലേർട്ട്
high tide,ഉയർന്ന വേലിയേറ്റം
be safe mumbai,സുരക്ഷിതമായ മുംബൈ ആയിരിക്കുക
badh,വർദ്ധിച്ചു
helpline number,ഹെൽപ്പ്ലൈൻ നമ്പർ
devgun,devgun
baadshaho,ചക്രവർത്തി
savita,സവിത
savita bhabi,സവിത ഭാഭി
porn,അശ്ലീല
sunny leon,സണ്ണി ലിയോൺ
mia khalifa,എന്തൊരു പിൻഗാമി
mazhab,വിഭാഗം
break up,പിരിഞ്ഞുപോകുക
sonaskshi sinha,സോനസക്ഷി സിൻഹ
Bajul Ijo,ബാജുൽ
suporter,പിന്തുണക്കാരൻ
persebaya,സെബെബയ
sepakbola,സോക്കർ
Bonek,ബോണെക്
Bonita,ബോണിറ്റ
Persija,പേർസിജ
Macan Kebayoran,കടുവ കെബായോറൻ
The Jakmania,ദി ജക്മാനിയ
Maung Bandung,മ ung ങ് ബന്ദുംഗ്
Persib,പെർസിബ്
Bobotoh,ബോബോട്ടോ
Elang andalas,അൻഡാലസ് കഴുകൻ
Sriwijaya FC,ശ്രീവിജയ എഫ്.സി.
Singo edan,ഭ്രാന്തൻ സിംഗോ
arema,അരേമ
Aremanita,അരെമാനൈറ്റ്
Semen padang,ഫീൽഡ് സിമൻറ്
padang,പാഡോക്ക്
kabau sirah,സർ സർ
spartack,സ്പാർട്ടക്ക്
press,അമർത്തുക
technology,സാങ്കേതികവിദ്യ
indians,ഇന്ത്യക്കാർ
can do,ചെയ്യാന് കഴിയും
ambani,അംബാനി
prey,ഇര
mauz,mauz
newton,ന്യൂട്ടൺ
theatre,തിയേറ്റർ
guesses,ess ഹിക്കുന്നു
any,ഏതെങ്കിലും
quiz,ക്വിസ്
lucknow,ലക്നോ
central,കേന്ദ്ര
simran,സിമ്രാൻ
ratings,റേറ്റിംഗുകൾ
rating,റേറ്റിംഗ്
kangna,കങ്കണ
farhan,farhan
akhtar,അക്തർ
iPhone8,iPhone8
iphone,ഐഫോൺ
iphone 8,ഐഫോൺ 8
mahnga,ചെലവേറിയത്
sasta,വിലകുറഞ്ഞത്
iPhoneX,iPhone X.
iPhone10,iPhone10
mahnga phone,ചെലവേറിയ ഫോൺ
face recognization,മുഖം തിരിച്ചറിയൽ
hindi diwas,ഹിന്ദി ദിവാസ്
ranout,റണ്ണൗട്ട്
movie chale,മൂവി ചാലെ
achi movie,ആച്ചി മൂവി
restaurent,റെസ്റ്റോറന്റ്
KBC,കെ.ബി.സി.
kon banega crorepati,ആരാണ് കോടിപതികളാകുക
amitabh,അമിതാഭ്
banta,നിർമ്മിച്ചത്
chutkula,തമാശ
hansi ke fuhare,ചിരി
Patah hati,നെഞ്ചിടിപ്പോടെ
sakit hati,വേദനിപ്പിച്ചു
cinta,സ്നേഹം
pacar,കാമുകൻ
galau,അസ്വസ്ഥനായി
atah hati,ഹൃദയത്തിൽ
navratri,നവരാത്രി
dashhara,ദസറ
jai mata di,ശ്രദ്ധിക്കുക
devi maa,ദേവി മാ
daandiya,വടി
tyohaar,ഉത്സവം
haseen parker,ഹസീൻ പാർക്കർ
sanjay,സഞ്ജയ്
dutt,ദത്ത്
bhoomi,ദേശം
haseena,പുഞ്ചിരി
parker,പാർക്കർ
durga pooja,ദുർഗ പൂജ
querry,അന്വേഷണം
resoning,അനുരണനം
jod,അയോഡിൻ
se bolo,കേക്ക് എങ്കിൽ
durga puja,ദുർഗ പൂജ
dasehra,ദശേര
funny joke,തമാശയുള്ള തമാശ
hansi,ഹാൻസ്
chutkulla,തമാശ
dushehra,ആത്മാവ്
bajarang,ബജാരംഗ്
hanuman,ഹനുമാൻ
jai bajarang bali,ജയ് ബജ്‌റംഗ് ബാലി
jai shree ram,ജയ് ശ്രീ റാം
lord ram,പ്രഭു റാം
judwa2,ജുഡ്വ 2
judwa,ഇരട്ടകൾ
going for movie,സിനിമയ്‌ക്കായി പോകുന്നു
movie ratings,മൂവി റേറ്റിംഗുകൾ
doing fun,തമാശ ചെയ്യുന്നു
romantic mood,റൊമാന്റിക് മൂഡ്
enjoying with girlfriend,കാമുകിയോടൊപ്പം ആസ്വദിക്കുന്നു
ghar par hi hu bhai,വീട്ടിൽ സഹോദരൻ
sunday hai aaj,ഇന്ന് ഞായറാഴ്ചയാണ്
movie chal,മൂവി ചാൾ
playing guitar,ഗിത്താർ വായിക്കുന്നു
gana baja du,gana baja du
guitar sunoge,നിങ്ങൾ ഗിറ്റാർ കേൾക്കുമോ?
mera gana sun le,mera gana sun le
at home,വീട്ടിൽ
fun at home,വീട്ടിൽ രസകരമാണ്
with girlfriend,കാമുകിയോടൊപ്പം
alya bhatt,അലിയ ഭട്ട്
rajpal yadav,രാജ്പാൽ യാദവ്
rajpal,രാജ്പാൽ
yadav,യാദവ്
alya bhaat,അലിയ ഭട്ട്
Wayang golek,പപ്പറ്റ് ഷോ
sunda,സുന്ദനീസ്
lokal,പ്രാദേശികം
Wayang,പാവ
budaya,സംസ്കാരം
angklung,angklung
alat musik,സംഗീത ഉപകരണം
jaipong,ജയ്പോംഗ്
tarian,നൃത്തം
sisingaan,sisingaan
bajidor,ബജിദൊര്
Rampak gendang,റെൻഡാങ് ഡ്രം
musik,സംഗീതം
awug,ഉണർത്തുക
Kuda renggong,കുതിരകൾ
Lalab,ലലബ്
Maenpo cikalong,നല്ല ജോലി
silat,സിലാത്ത്
jajaka,അവിവാഹിതന്
adat,ഡാറ്റ
mojang,മൊജാംഗ്
My Little Pony,എന്റെ കുട്ടിക്കുതിര
pony movie,പോണി മൂവി
I love cartoon,എനിക്ക് കാർട്ടൂൺ ഇഷ്ടമാണ്
so cute,വളരെ മനോഹരമായ
dedh sara pyar,ഒന്നര പ്രണയം
pony,പോണി
bhut pyara,അങ്ങനെ ക്യൂട്ട്
cartoon movie,കാർട്ടൂൺ മൂവി
kids channel,കുട്ടികളുടെ ചാനൽ
bacho wali bat,ശേഷിക്കുന്ന കാര്യം
hans lo bhai,ചിരിക്കുക സഹോദരാ
Ratu laut selatan,സൗത്ത് സീ രാജ്ഞി
hantu,പ്രേതം
misteri,ഒരു രഹസ്യം
mistis,നിഗൂ .മായ
karwa chauth,കാർവ ചൗത്ത്
chauth,ചൗത്ത്
karwa,ഇത് പൂർത്തിയാക്കുക
vrat,കഴുത്ത്
patni,ഭാര്യ
aaj karwa chauth hai,ഇന്ന് കാർവ ചൗത്ത്
karwa chauth ka vrat,കാർവ ചൗത്തിനായുള്ള ഉപവാസം
banking,ബാങ്കിംഗ്
ban,പകുതി
supreme court,സുപ്രീം കോടതി
uch nyayalay,ഹൈക്കോടതി
buy patakha,ബ്യൂയി ക്രാക്കർ
subh diwali,സന്തോഷകരമായ ദീപാവലി
subh dipawali,ദീപാവലി ആശംസകൾ
dont burn crackers,പടക്കം കത്തിക്കരുത്
crackers ban,പടക്കം നിരോധിക്കുക
haapy dipawali,ദീപാവലി ആശംസകൾ
subh,രാവിലെ
nyayalay,കോടതി
going home in diwali,ദീപാവലിയിൽ വീട്ടിലേക്ക് പോകുന്നു
have a blast this diwali,ഈ ദീപാവലിയിൽ ഒരു സ്ഫോടനം നടത്തുക
burning rocket,കത്തുന്ന റോക്കറ്റ്
have a blast,ഒരു സ്ഫോടനം നടത്തുക
buying rocket,റോക്കറ്റ് വാങ്ങുന്നു
safe dipawali,സുരക്ഷിതമായ ദീപാവലി
safe diwali,സുരക്ഷിത ദീപാവലി
pollution free diwali,മലിനീകരണ രഹിത ദീപാവലി
patakha mat jalao,പടക്കം കത്തിക്കരുത്
pollution bhut hai,പരിഹാരം വളരെ
pollution ho jata hai,മിനുക്കിയിരിക്കുന്നു
crackers free diwali,പടക്കം സ്വതന്ത്ര ദീപാവലി
pollution mask,മലിനീകരണ മാസ്ക്
