bobble,ବବଲ୍ |
cab sharing,କ୍ୟାବ୍ ଅଂଶୀଦାର |
auto,ଅଟୋ
delhi auto,delhi auto
taxi sharing,ଟ୍ୟାକ୍ସି ଅଂଶୀଦାର |
travelling,ଭ୍ରମଣ
travel,ଭ୍ରମଣ
traveling,ଭ୍ରମଣ
friendship,ବନ୍ଧୁତା
change,ପରିବର୍ତ୍ତନ
big note,ବଡ ନୋଟ୍ |
five hundred note,ପାଞ୍ଚ ଶହ ନୋଟ୍ |
bill pay,ବିଲ୍ ଦେୟ
no change,କ change ଣସି ପରିବର୍ତ୍ତନ ନାହିଁ |
currency,ମୁଦ୍ରା
metro,ମେଟ୍ରୋ
stuck,ଅଟକି ଯାଇଛି |
got,ପାଇଛି
transport,ପରିବହନ
bus,ବସ୍
train,ଟ୍ରେନ୍
metro train,ମେଟ୍ରୋ ଟ୍ରେନ୍
delhi metro,delhi metro
delhi metro train,ଡେଲି ମେଟ୍ରୋ ଟ୍ରେନ୍ |
mumbai metro,ମୁମ୍ବାଇ ମେଟ୍ରୋ |
local transport,ସ୍ଥାନୀୟ ପରିବହନ
late,ବିଳମ୍ବ
late to work,କାମ କରିବାକୁ ବିଳମ୍ବ
excuses,ବାହାନା
worker,ଶ୍ରମିକ
employee,କର୍ମଚାରୀ
office staff,ଅଫିସ୍ କର୍ମଚାରୀ |
manager,ପରିଚାଳକ
team,ଦଳ
suit,ସୁଟ୍
cab,କ୍ୟାବ
cabbie,କ୍ୟାବି
cab guy,କ୍ୟାବ ଲୋକ
driver,ଡ୍ରାଇଭର |
taxi driver,ଟାକ୍ସି ଚାଳକ
taxi,ଟ୍ୟାକ୍ସି
auto driver,ଅଟୋ ଡ୍ରାଇଭର |
route,ମାର୍ଗ
direction,ଦିଗ
area,କ୍ଷେତ୍ର
took,ନେଇଗଲା |
delayed,ବିଳମ୍ବ
latecomer,ବିଳମ୍ବ
navigation,ନାଭିଗେସନ୍
way,ଉପାୟ
road,ରାସ୍ତା
street,ଗଳି
procession,ଶୋଭାଯାତ୍ରା
job,ଚାକିରି
in laws,ନିୟମରେ |
mother in law,ଶାଶୁ
father in law,ଶଶୁର
inlaws,ନିୟମ |
relatives,ସମ୍ପର୍କିୟ
married,ବିବାହିତ
married employee,ବିବାହିତ କର୍ମଚାରୀ
bahane,କ୍ଷମା
kaam,କାମ
office job,ଅଫିସ୍ ଚାକିରି
office excuses,ଅଫିସ୍ ବାହାନା |
loosemotions,loosemotions
loose motions,ଖାଲି ଗତି |
sick,ଅସୁସ୍ଥ
sickness,ଅସୁସ୍ଥତା
ill,ଅସୁସ୍ଥ
unwell,ଅସୁସ୍ଥ
late coming,ବିଳମ୍ବରେ ଆସୁଛି |
workexcuses,ୱାର୍କକ୍ସକସ୍
member,ସଦସ୍ୟ
fake,ନକଲି
faking illness,ନକଲି ରୋଗ
bad stomach,ଖରାପ ପେଟ
stomach ache,ପେଟ ବଥା
potty,ହାଣ୍ଡି
dump,ଡମ୍ପିଂ
poop,poop
parents,ପିତାମାତା
station,ଷ୍ଟେସନ
pick,ବାଛ
railway station,ରେଳ ଷ୍ଟେସନ
bus stand,ବସ୍ ଷ୍ଟାଣ୍ଡ
work excuses,କାର୍ଯ୍ୟ ବାହାନା
work place,କର୍ମକ୍ଷେତ୍ର
flat tyre,ଫ୍ଲାଟ ଟାୟାର |
puncture,ଖୁଣ୍ଟ
tyre,ଟାୟାର
broke down,ଭାଙ୍ଗିଗଲା
working,କାମ କରୁଛି
sad employee,ଦୁ sad ଖୀ କର୍ମଚାରୀ |
on,ଉପରେ
skipped,ଛାଡିଦେଲେ |
bai,ଧଳା |
kaamwali,ଚାକରାଣୀ
late today,ଆଜି ବିଳମ୍ବ
theft,ଚୋରି
robbery,ଡକାୟତି
heist,heist
building,ବିଲଡିଂ
society,ସମାଜ
crime scene,ଅପରାଧ ଦୃଶ୍ୟ
appartment,ଆପାର୍ଟମେଣ୍ଟ
work excuse,କାର୍ଯ୍ୟ ବାହାନା
employer,ନିଯୁକ୍ତିଦାତା |
car broke down,କାରଟି ଭାଙ୍ଗିଗଲା |
kharab,ଖରାପ
gaadi band,କାର୍ ବନ୍ଦ |
raining,ବର୍ଷା
monsoon,ମ so ସୁମୀ
location,ଅବସ୍ଥାନ
city,ସହର
water clogging,ଜଳ ବନ୍ଦ
paani,ପାଣି
coca cola,କୋକ୍
thanda,ଥଣ୍ଡା
coke,କୋକ୍
yo,ମୁଁ
beverage,ପାନୀୟ
taste the feeling,ଅନୁଭବକୁ ସ୍ୱାଦ କର |
taste,ସ୍ୱାଦ
bottle,ବୋତଲ
cola,କୋଲା
coca,କୋକା |
coke bottle,କୋକ୍ ବୋତଲ |
jersey,ଜର୍ସି
soft drink,ମୃଦୁ ପାନୀୟ
1,୧
coca cola,କୋକ୍
meet,ସାକ୍ଷାତ
walking,ଚାଲିବା
foodies,ଖାଦ୍ୟ
khushiyaan,ବିଶେଷତା
feeling,ଅନୁଭବ
meeting,ସଭା
towel,ତଉଲିଆ
bathroom,ବାଥରୁମ
shower,ସାୱାର
girl in washroom,ୱାଶରୁମରେ girl ିଅ
washroom,ୱାଶରୁମ୍
toilet,ଶୌଚାଳୟ
girl in towel,ଟାୱେଲରେ girl ିଅ
no wash,ଧୋଇବା ନାହିଁ |
clean,ପରିଷ୍କାର
fresh,ସତେଜ
freshen,ଫ୍ରେଶନ୍
company,କମ୍ପାନୀ
dirty pack,ମଇଳା ପ୍ୟାକ୍ |
pack,ପ୍ୟାକ୍ କରନ୍ତୁ |
dirty,ମଇଳା
cold,ଥଣ୍ଡା
girl in bathrobe,ବାଥ୍ରୋବରେ girl ିଅ
bathing,ସ୍ନାନ
bathe,ସ୍ନାନ କର
industry,ଶିଳ୍ପ
clean up,ପରିଷ୍କାର କରନ୍ତୁ
unhygienic,ଅପରିଷ୍କାର
hygiene,ସ୍ୱଚ୍ଛତା
sanitary,ପରିମଳ
fever,ଜ୍ୱର
ganda,ଦୁଇଥର |
deodorant,ଡିଓଡୋରାଣ୍ଟ |
in,ଭିତରେ
kal,ଆସନ୍ତାକାଲି |
nahaya,ସ୍ନାନ
ath,ଆଥ
athing,athing
wash wash up,ଧୋଇବା
alibi,ଆଲିବି
excuse,ବାହାନା
nightsuit,ନାଇଟ୍ ସୁଟ୍
underwear,ଅନ୍ତ under ବସ୍ତ୍ର
kacche,କଞ୍ଚା
dhule,ଧୁଲେ |
washing,ଧୋଇବା
dry,ଶୁଖିଲା |
dirty clothes,ମଇଳା ପୋଷାକ |
arriving late,ବିଳମ୍ବରେ ପହଞ୍ଚିବା |
ironing,ଇରୋନିଂ
iron,ଲୁହା
pants,ପ୍ୟାଣ୍ଟ
trousers,ଟ୍ରାଉଜର
naked,ଉଲଗ୍ନ
tie,ବାନ୍ଧ |
no bath,ସ୍ନାନ ନାହିଁ
warm,ଗରମ
restroom,ଶ rest ଚାଳୟ
woman in towel,ଟାୱେଲରେ ମହିଳା
pink,ଗୋଲାପୀ |
lady,ଲେଡି
hot water bath,ଗରମ ପାଣି ସ୍ନାନ |
no shower,ସାୱାର ନାହିଁ
holi,ହୋଲି
wash up,ଧୁଆ ଧୁଈ ହେବା
pichkaari,ପରମାଣୁ
gross,ମୋଟ
abey,abey
blue,ନୀଳ
naha,ଚର୍ମ
winter,ଶୀତ
oye,oye
come,ଆସ
thand,ଥଣ୍ଡା
Daisy Duck,ଡେଜି ଡକ୍ |
darling,ପ୍ରିୟ
good,ଭଲ
luck,ଭାଗ୍ୟ
good luck,ଶୁଭକାମନା
memories,ସ୍ମୃତି
bae,bae
girl friend,girl ିଅ ବନ୍ଧୁ
school days,ବିଦ୍ୟାଳୟ ଦିନ
eighties,ଅଶୀ ଦଶକ
baby,ଶିଶୁ
lovable,ସ୍ନେହୀ
girl friends,girl ିଅ ସାଙ୍ଗଗଣ |
post,ପୋଷ୍ଟ କରନ୍ତୁ |
posted,ପୋଷ୍ଟ କରାଯାଇଛି |
first,ପ୍ରଥମେ
before,ପୂର୍ବରୁ
update,ଅଦ୍ୟତନ କରନ୍ତୁ |
social media,ସୋସିଆଲ ମିଡିଆ |
donald duck,ଡୋନାଲ୍ଡ ଡକ୍ |
donald,ଡୋନାଲ୍ଡ |
child,ପିଲା
hilarious,ହାସ୍ୟ
insane,ପାଗଳ |
cuteness,ସୁନ୍ଦରତା
mental,ମାନସିକ
mentally,ମାନସିକ ସ୍ତରରେ |
oh,ଓ oh
boy oh boy,ପୁଅ ହେ ବାଳକ
mickey,ମିକି
mickey mouse,ମିକି ମାଉସ୍
response,ପ୍ରତିକ୍ରିୟା
shocked,ଚକିତ
some,କେତେକ
music,ସଙ୍ଗୀତ
songs,ଗୀତ
song,ଗୀତ
minnie,ମିନି
mini,ମିନି
minni,େମାର
minnie mouse,ମିନି ମାଉସ୍
melody,ମେଲୋଡି
need,ଆବଶ୍ୟକତା
all,ସମସ୍ତ
romance,ରୋମାନ୍ସ
romanctic,ରୋମାଣ୍ଟିକ୍
conversations,ବାର୍ତ୍ତାଳାପ |
talks,କଥାବାର୍ତ୍ତା |
lover,ପ୍ରେମିକ
guitar,ଗିଟାର
instrument,ଯନ୍ତ୍ର
forbidden,ନିଷେଧ |
romantic,ରୋମାଣ୍ଟିକ୍
heart ache,ହୃଦୟ ଯନ୍ତ୍ରଣା
dill,ଡିଲ୍
how,କିପରି
cteness,cteness
starts,ଆରମ୍ଭ ହୁଏ |
beginning,ଆରମ୍ଭ
conversation,ବାର୍ତ୍ତାଳାପ |
for,ପାଇଁ
group,ଗୋଷ୍ଠୀ
happy birthday,ଜନ୍ମଦିନର ଅଭିନନ୍ଦନ
to me,ସହିତ
my birthdy,ମୋ ଜନ୍ମଦିନ
my,ମୋର
hello,ନମସ୍କାର
starters,ପ୍ରାରମ୍ଭକାରୀ
begin,ଆରମ୍ଭ କର |
mouseketeers,ମାଉସ୍କିଟର୍
magic,ଯାଦୁ
jaafu,ଗପସପ
jadu,ଯାଦୁ
cloak,ବସ୍ତ୍ର
me,ମୁଁ
praise,ପ୍ରଶଂସା
in love,ପ୍ରେମ ରେ
ishq,ishq
flirt,ଫ୍ଲର୍ଟ |
flirtatious,ଫ୍ଲର୍ଟିଆସ୍ |
filmy,ଚଳଚ୍ଚିତ୍ର
bollywood,bollywood
cinema,ସିନେମା
hindi,ହିନ୍ଦୀ
relationships,ସମ୍ପର୍କ
pyar,ପ୍ରେମ
dl,dl
zindagi,ଜିନ୍ଦାଗି |
hai,ହେଉଛି
dialogue,ସଂଳାପ
dialog,ସଂଳାପ
mohabbat,mohabbat
lovesick,ଲଭିକ୍ |
chance,ସୁଯୋଗ
stake,ଅଂଶ
risk,ବିପଦ
kuch,କେତେକ
by,ଦ୍ .ାରା
mera,ମେରା
limit,ସୀମା
main,ମୁଖ୍ୟ
hearts,ହୃଦୟ
rule,ନିୟମ |
pyaar ke rules,ପ୍ରେମର ନିୟମ |
friendzone,ବନ୍ଧୁ ଅଞ୍ଚଳ
friendzoned,ବନ୍ଧୁ
diwana,ପାଗଳ |
mad,ପାଗଳ
ole,ନାହିଁ
bole,କୁହନ୍ତି
saif,saif
saif ali khan,ସ if ଫ ଅଲି ଖାନ
tera,ଟେରା |
jab bhi,ଯେବେ ବି
see,ଦେଖନ୍ତୁ |
dekhu,ଦେଖନ୍ତୁ |
ladka,ବାଳକ
bike,ବାଇକ୍
hitting,ମାରିବା
hitting on,ମାରିବା
aur,ସୁନା
dono,ଯାହା
thai ishqiya,ଥାଇ ଇଶ୍କିଆ |
baccha,ଶିଶୁ
hai jee,ହ i
empty,ଖାଲି
pockets,ପକେଟ୍
paisa,ଟଙ୍କା
cashless,ନଗଦବିହୀନ |
staff,କର୍ମଚାରୀ
later,ପରେ
diwali,diwali
professional,ବୃତ୍ତିଗତ
prediwali,prediwali
diwali party,ଦିୱାଲୀ ପାର୍ଟୀ |
card party,କାର୍ଡ ପାର୍ଟୀ |
ethnic wear,ଜାତିଗତ ପୋଷାକ |
traditional wear,ପାରମ୍ପାରିକ ପୋଷାକ |
traditional,ପାରମ୍ପାରିକ |
festive,ଉତ୍ସବ
festive wear,ଉତ୍ସବ ପରିଧାନ
daru,ଏକ ଉପହାର
sharab,ମଦ
alocohol,ମଦ୍ୟପାନ
kurta pyjama,କୁର୍ତ୍ତା ପାଇଜାମା |
where,କେଉଁଠାରେ
cardparty,କାର୍ଡପାର୍ଟି |
say,କୁହ
to,କୁ
crackers,କ୍ରାକରଗୁଡିକ
slogan,ସ୍ଲୋଗାନ
deepawali,ଦୀପାୱାଲୀ |
dipawali,ଦୀପାୱାଲୀ |
cards,କାର୍ଡଗୁଡ଼ିକ
couple,ଦମ୍ପତି
rangoli,ରଙ୍ଗୋଲି
stay,ରୁହ
away,ଦୂରରେ
diya,ଦିଆଗଲା |
lamps,ଦୀପ
diwlai celebration,diwali ଉତ୍ସବ |
maa,ଜମି
mata,ଆଖି
housewide,ଘର ସାରା
safai,ପରିଷ୍କାର ପରିଚ୍ଛନ୍ନତା |
ghar,ଘର
house,ଘର
house cleaning,ଘର ସଫା କରିବା |
diwali cleaning,diwali ସଫା କରିବା |
karega,କରିବେ |
ki,ର
daughter,daughter ିଅ
sahab,ସାର୍ |
housekeeper,ଗୃହରକ୍ଷୀ
cleaner,କ୍ଲିନର୍
diwlai,ଦୟାକରି
bonus,ବୋନସ୍
diwali bonus,diwali bonus
bucket,ବାଲଟି
cleaning,ସଫା କରିବା
broom,ବର
jhaduu,jhaduu
diwali shopping,diwali ସପିଂ |
with,ସହିତ
be like,ପରି ହୁଅ
bags,ବ୍ୟାଗ
shopping bags,ସପିଂ ବ୍ୟାଗ୍ |
missing,ନିଖୋଜ
miss,ମିସ୍
miss you,ତୁମକୁ ଝୁରି ହେବା
yaad,ମନେରଖ |
ghar ki yaad,ଘରକୁ ମନେରଖ |
nostalgia,ନାସ୍ତି
nostalgic,ନାଷ୍ଟାଲଜିକ୍ |
baksheesh,baksheesh
paise,ଟଙ୍କା
superstar,ସୁପରଷ୍ଟାର
stage,ପର୍ଯ୍ୟାୟ
mic,ମାଇକ୍
singer,ଗାୟକ
melodies,ମେଲୋଡି
perform,ପ୍ରଦର୍ଶନ
gig,ଗିଗ୍
star,ତାରା
band,ବ୍ୟାଣ୍ଡ
rockband,ରକ୍ ବ୍ୟାଣ୍ଡ |
musician,ସଂଗୀତଜ୍ଞ
spotlight,ସ୍ପଟ୍ ଲାଇଟ୍ |
goodwork,ଭଲ କାମ
well,ଭଲ
done,ସମାପ୍ତ
welldone,ୱେଲଡୋନ୍ |
good job,ଭଲ କାର୍ଯ୍ୟ
acha,ଭାବ |
sun,ସୂର୍ଯ୍ୟ
surf,ସର୍ଫ୍ |
surfboard,ସର୍ଫବୋର୍ଡ |
surfing,ସର୍ଫିଂ
shining,ଉଜ୍ଜ୍ୱଳ
waves,ତରଙ୍ଗ
swiming,ପହଁରିବା |
swimwear,ସନ୍ତରଣ ପୋଷାକ |
swimsuit,ସ୍ୱିମ୍ସୁଟ୍ |
goa,ଗୋଆ
beaches,ବେଳାଭୂମି
usic,usic
performance,କାର୍ଯ୍ୟଦକ୍ଷତା
acha kaam,ଭଲ କାମ
ha,ଅଛି
hell,ନର୍କ
burn,ଜଳ
burning,ଜଳିବା
laughing,ହସୁଛି
interaction,ପାରସ୍ପରିକ କ୍ରିୟା
talk,କଥାବାର୍ତ୍ତା |
old,ପୁରୁଣା
days,ଦିନ
memory,ସ୍ମୃତି
college,କଲେଜ
cowboy,ଗୋବୋ
cowboy hat,ଗା boy ବୋ ଟୋପି |
cowboy boots,ଗା boy ବୋଇ ବୁଟ୍ |
boots,ବୁଟ୍
dessert,ମିଠା
hat,ଟୋପି
fighting,ଯୁଦ୍ଧ
goodnight,ଶୁଭ ରାତ୍ରି
night,ରାତି
dreams,ସ୍ୱପ୍ନ
sweetdreams,ସୁଖ ସ୍ଵପ୍ନ
moon,ଚନ୍ଦ୍ର
dark,ଅନ୍ଧାର
stars,ତାରା
the moon,ଚନ୍ଦ୍ର
clouds,ମେଘ
sky,ଆକାଶ
end,ଶେଷ
scare,ଭୟ
scray,ସ୍କ୍ରା
boo,ବୋଉ
ghost,ଭୂତ
land,ଜମି
scarecrow,ଭୟ
shock,shock ଟକା
surprise,ଆଶ୍ଚର୍ଯ୍ୟ
zombie,ଜମ୍ବି |
hahaha,hahaha
laughter,ହସ
wicked laugh,ଦୁଷ୍ଟ ହସ
scary,ଭୟାନକ
tight,କଠିନ
honey,ମହୁ
grilfriend,ଗର୍ଲଫ୍ରେଣ୍ଡ
college days,କଲେଜ ଦିନ
older,ପୁରାତନ
young,ଯୁବକ
younger,ସାନ
retro,ରେଟ୍ରୋ |
yearn,ଇଚ୍ଛା
booo,ବୋଉ
witch,ଯାଦୁକର
flying,ଉଡିବା
ghosts,ଭୂତ
spooky,spoky
chudail,ଯାଦୁକର
shinning,ଜ୍ୟୋତି
bright,ଉଜ୍ଜ୍ୱଳ
frieds,ଭଜା |
really,ପ୍ରକୃତରେ
chat,ଚାଟ୍ କରନ୍ତୁ |
friendships,ବନ୍ଧୁତା
stunned,ଆଶ୍ଚର୍ଯ୍ୟ ହୋଇଗଲେ
hmmm,ହମ୍
hmm,ହମ୍
pondering,ଚିନ୍ତା
contemplating,ଚିନ୍ତା କରୁଛି |
think,ଭାବ |
thoughtful,ଭାବପ୍ରବଣ
thoughts,ଚିନ୍ତାଧାରା |
hahah,ହାହା
bahaha,ବାହାହା
joking,ଥଟ୍ଟା
hansna,ହସିବାକୁ
thanks,ଧନ୍ୟବାଦ
thank you,ଧନ୍ୟବାଦ
thank,ଧନ୍ୟବାଦ
help,ସାହାଯ୍ୟ
welcome,ସ୍ୱାଗତ
thanking,ଧନ୍ୟବାଦ
get,ପାଅ
get out,ବାହାରି ଯାଅ
chakra,ଚକ୍ର
go,ଯାଅ
fuck off,ବନ୍ଦ କର |
superhero,ସୁପରହିଟ୍
whatsup,କଣ ଚାଲିଛି
ssup,ssup
whaddup,whaddup
whatup,କଣ
watsup,ୱାଟସପ୍ |
happing,ଖୁସି
opening,ଖୋଲିବା
coversation,ବାର୍ତ୍ତାଳାପ |
start,ଆରମ୍ଭ କର |
converse,କଥାବାର୍ତ୍ତା
free,ମାଗଣା |
freebird,ଫ୍ରିବର୍ଡ |
freedom,ସ୍ୱାଧୀନତା
break,ବ୍ରେକ୍
jatt,jatt
fly,ଉଡ
air,ବାୟୁ
super,ସୁପର
stoned,ପଥର ମାଡ଼
starter,ଷ୍ଟାର୍ଟର୍
solar,ସ ar ର
activate,ସକ୍ରିୟ କରନ୍ତୁ |
functionality,କାର୍ଯ୍ୟକାରିତା
character,ବର୍ଣ୍ଣ
powerful,ଶକ୍ତିଶାଳୀ
stronger,ଶକ୍ତିଶାଳୀ |
like,ପରି
lve,lve
flirting,ଫ୍ଲର୍ଟିଂ
flatter,ଚାଟୁକାର
u,ଭିତରେ
affair,ପ୍ରେମ
caught,ଧରାପଡିଛି |
ya,ର
caught you,ତୁମକୁ ଧରିଲା
pakad,ଧରନ୍ତୁ |
liye,ପାଇଁ
he,ସେ
everyday,ପ୍ରତିଦିନ
howdy,କେମିତି
namaste,ନମସ୍କାର
group chat,ଗୋଷ୍ଠୀ ଚାଟ୍ |
feel,ଅନୁଭବ କର |
strength,ଶକ୍ତି
attack,ଆକ୍ରମଣ
protector,ରକ୍ଷକ
bored,ବିରକ୍ତ
m,ମି
boring,ବିରକ୍ତିକର |
plans,ଯୋଜନାଗୁଡିକ
run,ଚଲାନ୍ତୁ |
running,ଚାଲୁଛି
zap,zap
zoom,ଜୁମ୍ କରନ୍ତୁ |
storm out,storm ଡ଼
exit,ପ୍ରସ୍ଥାନ
go away,ଚାଲି ଯାଓ
dissappear,ଅଦୃଶ୍ୟ
leave,ଛାଡ
have,ଅଛି
a,a
plan,ଯୋଜନା
planning,ଯୋଜନା
idea,ଧାରଣା
trick,କୌଶଳ
plan of action,କାର୍ଯ୍ୟ ଯୋଜନା
tvf pitchers,ଟିଭି ପିଚର୍ |
pitchers,ପାତ୍ର
beer,ବିୟର
tvf,tvf
viral,ଭାଇରାଲ୍ |
peeney,ପିଇବା
peena,ପିଇବା ପାଇଁ |
bhati,ଭାଟି
navin,ନାଭିନ୍
navin bansal,ନବିନ ବନସାଲ |
glass,ଗ୍ଲାସ୍
hun,ସେମାନଙ୍କର
bansal,ନିଷେଧ |
botal,ବୋତଲ
nikla,ନିକେଲ୍
bahunga,ଇଚ୍ଛା
hoon,ହୁନ୍
behna,behna
behunga,ସେମାନେ ପରାମର୍ଶ କରୁଥିଲେ
bahar,ବସନ୍ତ ସମୟ |
invest,ବିନିଯୋଗ କରନ୍ତୁ |
investor,ନିବେଶକ
funding,ପାଣ୍ଠି
drunk night,ମଦ୍ୟପ ରାତି
height,ଉଚ୍ଚତା
sexism,ଯ sex ନ ସମ୍ପର୍କ |
of,ର
gunda,ଗୁଣ୍ଡା
entrepreneur,ଉଦ୍ୟୋଗୀ
startup,ଆରମ୍ଭ କର
invester,ନିବେଶକ
presentation,ଉପସ୍ଥାପନା
ladki,Girl ିଅ
tum,ତୁମ୍
kyu,କ୍ୟୁ
why,କାହିଁକି?
boygang,boygang
boys,ପୁଅମାନେ
let,ଚାଲ
going,ଯାଉଛି
leaving,ଛାଡିବା
privacy,ଗୋପନୀୟତା
mail,ମେଲ୍
myth,ପୁରାଣ
owners,ମାଲିକମାନେ
men,ପୁରୁଷମାନେ |
email,ଇମେଲ୍ |
letter,ଚିଠି
smartass,ସ୍ମାର୍ଟସ୍
smart ass,ସ୍ମାର୍ଟ ଗଧ |
work culture,କାର୍ଯ୍ୟ ସଂସ୍କୃତି |
workplace,କର୍ମକ୍ଷେତ୍ର
pechkas,ଚୁଲି
app,ଆପ୍
khoj,ସନ୍ଧାନ |
discover,ଆବିଷ୍କାର କରନ୍ତୁ |
idiotic,ମୂର୍ଖ
old man,ବୃଦ୍ଧଲୋକ
tease,ଚିଡ଼େଇବା
never,କେବେ ନୁହେଁ
quit,ଛାଡ
back down,ପଛଘୁଞ୍ଚା ଦବା
failure,ବିଫଳତା
motivation,ପ୍ରେରଣା
motivator,ପ୍ରେରଣାଦାତା |
chutiya,ପିଚ୍
fucker,fucker
wearing,ପିନ୍ଧିବା
serious,ଗମ୍ଭୀର
specs,ନିର୍ଦ୍ଦିଷ୍ଟ
papa,ପାପା
fail,ବିଫଳ
toh do,toh do
mauka,ସମ୍ଭାବନା |
dad,ବାପା
pissed,ପିସ୍
annoyed,ବିରକ୍ତ
joint,ମିଳିତ
doobie,doobie
family,ପରିବାର
chitwan,ଚିତୱାନ୍
chitvan,ଚିତୱାନ୍
chanchal,ଖେଳାଳୀ
logo,logo
whatsapp,whatsapp
pregnant,ଗର୍ଭବତୀ
praja,ପ୍ରଜା
banata,ବାନା
raat,raat
tharki,ଷ୍ଟିଙ୍ଗ୍ |
horny,ଶୃଙ୍ଗ
hame,ଫ୍ଲଫ୍ |
humein,ଆମ
humey,ଆମ
prem,prem
pranav,ପ୍ରଣବ |
mein,ମୋର
planner,ଯୋଜନାକାରୀ
bahut,ଅନେକ
chandan,ଚପଲ
daddy,ବାପା
baba,ବାବା
compatibility,ସୁସଙ୍ଗତତା
mommy,ମମି
momy,ମମି
mama,ମାମା
fuck,fuck
irritated,ବିରକ୍ତ
bye,ବିଦାୟ
bye bye,ବିଦାୟ ନେଉଛି
tata,ଟାଟା
driving,ଗାଡି ଚଳାଇବା |
roadtrip,ସଡକ ଯାତ୍ରା
dj,dj
beautiful,ସୁନ୍ଦର
hillary,ପାହାଡ
means,ଅର୍ଥ |
election,ନିର୍ବାଚନ
supported,ସମର୍ଥିତ |
vote,ଭୋଟ୍
superwoman,ସୁପରମ୍ୟାନ୍
her,ତାଙ୍କୁ
again,ପୁନର୍ବାର
back,ପଛକୁ
wizard,ୱିଜାର୍ଡ
withcraft,ଯାଦୁ
winner,ବିଜେତା |
winning,ଜିତିବା |
hillary clinton,ହିଲାରୀ କ୍ଲିଣ୍ଟନ୍ |
clinton,କ୍ଲିଣ୍ଟନ୍ |
she,ସେ
choice,ପସନ୍ଦ
choose,ବାଛନ୍ତୁ
select,ଚୟନ କରନ୍ତୁ |
opt,opt
speech,ଭାଷଣ
deck,ଡେକ୍
boxing,ବକ୍ସିଂ
ring,ରିଙ୍ଗ୍ |
gloves,ଗ୍ଲୋଭସ୍ |
warrior,ଯୋଦ୍ଧା
right,ଠିକ୍
five,ପାଞ୍ଚ
5,5
!,!
exclamation,ଚିତ୍କାର
ice cube,ବରଫ ଖଣ୍ଡ
tv,ଟିଭି
screen,ସ୍କ୍ରିନ୍
smart response,ସ୍ମାର୍ଟ ପ୍ରତିକ୍ରିୟା
acknowledge,ସ୍ୱୀକାର କର |
filler,ଫିଲର୍
interactions,ପାରସ୍ପରିକ କ୍ରିୟା
bubble,ବବୁଲ୍ |
cube,କ୍ୟୁବ୍
ice,ବରଫ
thought,ଭାବିଲି
thought bubble,ଚିନ୍ତା ବବୁଲ୍ |
oh my god,ହେ ଭଗବାନ
shit,ଚିଟ୍
damn,ଅଭିଶାପ
fish,ମାଛ |
hulk,ହଲ୍
avenger,ପ୍ରତିଶୋଧ
dumbbell,ଡମ୍ବୁଲ୍ |
fire,ଅଗ୍ନି
firey,ଅଗ୍ନି
devil,ଶୟତାନ
zzz,zzz
good night,ଶୁଭରାତ୍ରୀ
muah,ମୁହା
lips,ଓଠ
kiss,ଚୁମ୍ବନ
yipii,ଇପି
wohoo,wohoo
yay!,ବାଃ!
hurrah,ହୁରେ
great news,ବହୁତ ଭଲ ଖବର |
kisses,ଚୁମ୍ବନ
lovey dovey,ଲଭ୍ ଡୋଭି |
