bobble,ધક્કો મારવો
traditional,પરંપરાગત
festive,ઉત્સવની
festive wear,ઉત્સવની વસ્ત્રો
daru,ભેટ
sharab,વાઇન
alocohol,દારૂ
kurta pyjama,કુર્તા પાજમા
where,જ્યાં
cardparty,કાર્ડપાર્ટી
say,કહો
to,પ્રતિ
crackers,ફટાકડા
slogan,સૂત્ર
deepawali,દીપાવલી
dipawali,દીપાવલી
cards,કાર્ડ્સ
couple,દંપતી
rangoli,રંગોળી
stay,રહો
away,દૂર
diya,આપેલ
lamps,દીવા
diwlai celebration,દિવાળીની ઉજવણી
maa,જમીન
mata,આંખ
housewide,ઘરઆંગણે
safai,સ્વચ્છતા
ghar,ઘર
house,ઘર
house cleaning,ઘર સફાઇ
diwali cleaning,દિવાળી સફાઈ
karega,કરશે
ki,ના
daughter,પુત્રી
sahab,સર
housekeeper,ઘરની સંભાળ રાખનાર વ્યક્તિ
cleaner,ક્લીનર
diwlai,કૃપા કરીને
bonus,બોનસ
diwali bonus,દિવાળી બોનસ
bucket,ડોલ
cleaning,સફાઈ
broom,સાવરણી
jhaduu,jhaduu
diwali shopping,દિવાળી ખરીદી
with,સાથે
be like,ગમતા થાઓ
bags,બેગ
shopping bags,શોપિંગ બેગ
missing,ગુમ
miss,ચૂકી
miss you,તારી યાદ સતાવે છે
yaad,યાદ રાખો
ghar ki yaad,ઘર યાદ આવે છે
nostalgia,ગમગીની
nostalgic,ગમગીની
baksheesh,બક્ષિશ
paise,પૈસા
superstar,સુપરસ્ટાર
stage,સ્ટેજ
mic,માઇક
singer,ગાયક
melodies,મધુર
perform,કરો
gig,ગિગ
star,તારો
band,બેન્ડ
rockband,રોક બેન્ડ
musician,સંગીતકાર
spotlight,સ્પોટલાઇટ
goodwork,સારા કામ
well,સારું
done,થઈ ગયું
welldone,વેલડોન
good job,સારુ કામ
acha,વિચારો
sun,સૂર્ય
surf,સર્ફ
surfboard,સર્ફબોર્ડ
surfing,સર્ફિંગ
shining,ઝળહળતો
waves,મોજા
swiming,તરવું
swimwear,સ્વિમવેર
swimsuit,સ્વીમસ્યુટ
goa,ગોઆ
beaches,બીચ
usic,usic
performance,કામગીરી
acha kaam,શુભ કાર્ય
ha,છે
hell,નરક
burn,બર્ન
burning,બર્નિંગ
laughing,હસવું
interaction,ક્રિયાપ્રતિક્રિયા
talk,વાત
old,વૃદ્ધ
days,દિવસ
memory,મેમરી
college,ક collegeલેજ
cowboy,કાઉબોય
cowboy hat,કાઉબોય ટોપી
cowboy boots,કાઉબોય બૂટ
boots,બૂટ
dessert,મીઠાઈ
hat,ટોપી
fighting,લડાઈ
goodnight,શુભ રાત્રી
night,રાત્રે
dreams,સપનાઓ
sweetdreams,સ્વીટડ્રીમ્સ
moon,ચંદ્ર
dark,શ્યામ
stars,તારાઓ
the moon,ચંદ્ર
clouds,વાદળો
sky,આકાશ
end,અંત
scare,બીક
scray,સ્ક્રે
boo,બૂ
ghost,ભૂત
land,જમીન
scarecrow,સ્કેરક્રો
shock,આંચકો
surprise,આશ્ચર્ય
zombie,ઝોમ્બી
hahaha,hahaha
laughter,હાસ્ય
wicked laugh,દુષ્ટ હસવું
scary,ડરામણી
tight,કડક
honey,મધ
grilfriend,ગર્લફ્રેન્ડ
college days,કોલેજના દિવસો
older,વૃદ્ધ
young,યુવાન
younger,યુવાન
retro,રેટ્રો
yearn,ઝંખવું
booo,બૂ
witch,ડાકણ
flying,ઉડતી
ghosts,ભૂત
spooky,બિહામણાં
chudail,ચૂડેલ
shinning,શિનિંગ
bright,તેજસ્વી
frieds,તળેલું
really,ખરેખર
chat,ગપસપ
friendships,મિત્રતા
stunned,સ્તબ્ધ
hmmm,હમ્મમ
hmm,હમ્મ
pondering,વિચારવું
contemplating,ચિંતન
think,વિચારો
thoughtful,વિચારશીલ
thoughts,વિચારો
hahah,હાહા
bahaha,બહાહા
joking,મજાક
hansna,હસવું
thanks,આભાર
thank you,આભાર
thank,આભાર
help,મદદ
welcome,સ્વાગત છે
thanking,આભાર
get,મેળવો
get out,બહાર જા
chakra,ચક્ર
go,જાઓ
fuck off,બંધ વાહિયાત
superhero,સુપરહીરો
whatsup,શું છે?
ssup,ssup
whaddup,વhadડઅપ
whatup,શું
watsup,વtsટ્સઅપ
happing,ખુશ
opening,ઉદઘાટન
coversation,વાતચીત
start,શરૂઆત
converse,કન્વર્ઝ
free,મફત
freebird,મુક્ત પક્ષી
freedom,સ્વતંત્રતા
break,વિરામ
jatt,jatt
fly,ઉડાન
air,હવા
super,સુપર
stoned,પથ્થરમારો
starter,સ્ટાર્ટર
solar,સૌર
activate,સક્રિય કરો
functionality,કાર્યક્ષમતા
character,પાત્ર
powerful,શક્તિશાળી
stronger,મજબૂત
like,ગમે છે
lve,lve
flirting,ફ્લર્ટિંગ
flatter,ચપળ
u,માં
affair,પ્રણય
caught,કેચ
ya,ની
caught you,તમે પકડી
pakad,પકડો
liye,માટે
he,તેમણે
everyday,દરરોજ
howdy,કેવી રીતે
namaste,નમસ્તે
group chat,જૂથ ચેટ
feel,લાગે છે
strength,તાકાત
attack,હુમલો
protector,રક્ષક
bored,કંટાળો
m,મી
boring,કંટાળાજનક
plans,યોજનાઓ
run,ચલાવો
running,ચાલી રહેલ
zap,ઝેપ
zoom,ઝૂમ
storm out,તોફાન બહાર
exit,બહાર નીકળો
go away,દૂર જાઓ
dissappear,અદૃશ્ય થઈ જવું
leave,રજા
have,છે
a,એ
plan,યોજના
planning,આયોજન
idea,વિચાર
trick,યુક્તિ
plan of action,ક્રિયા કરવાની યોજના
tvf pitchers,ટીવીએફ પિચર્સ
pitchers,ઘડા
beer,બીયર
tvf,tvf
viral,વાયરલ
peeney,પીવું
peena,પીવા માટે
bhati,ભાટી
navin,નવીન
navin bansal,નવીન બંસલ
glass,ગ્લાસ
hun,તેમના
bansal,બંસલ
botal,બોટલ
nikla,નિકલ
bahunga,કરશે
hoon,હૂન
behna,બેહના
behunga,તેઓ સલાહ લેતા હતા
bahar,વસંતtimeતુ
invest,રોકાણ
investor,રોકાણકાર
funding,ભંડોળ
drunk night,નશામાં રાત
height,.ંચાઇ
sexism,લૈંગિકતા
of,ની
gunda,ગુંડા
entrepreneur,ઉદ્યોગસાહસિક
startup,શરુઆત
invester,રોકાણકાર
presentation,પ્રસ્તુતિ
ladki,છોકરી
tum,ટમ
kyu,કયુ
why,શા માટે
boygang,boygang
boys,છોકરાઓ
let,દો
going,જવું
leaving,છોડીને
privacy,ગોપનીયતા
mail,મેઇલ
myth,દંતકથા
owners,માલિકો
men,પુરુષો
email,ઇમેઇલ
letter,પત્ર
smartass,સ્માર્ટસ
smart ass,સ્માર્ટ ગર્દભ
work culture,વર્ક કલ્ચર
workplace,કાર્યસ્થળ
pechkas,સ્ટોવ
app,એપ્લિકેશન
khoj,શોધ
discover,શોધો
idiotic,મૂર્ખ વ્યક્તિ
old man,વૃદ્ધ પુરુષ
tease,પીંજવું
never,ક્યારેય
quit,છોડી દો
back down,પાછા નીચે
failure,નિષ્ફળતા
motivation,પ્રેરણા
motivator,પ્રેરણા
chutiya,ચપટી
fucker,વાહિયાત
wearing,પહેર્યા
serious,ગંભીર
specs,સ્પેક્સ
papa,પપ્પા
fail,નિષ્ફળ
toh do,toh કરવું
mauka,ચાન્સ
dad,પપ્પા
pissed,પીસ્ડ
annoyed,નારાજ
joint,સંયુક્ત
doobie,ડૂબી
family,કુટુંબ
chitwan,ચિતવાન
chitvan,ચિતવાન
chanchal,રમતિયાળ
logo,લોગો
whatsapp,વોટ્સેપ
pregnant,ગર્ભવતી
praja,પ્રેજા
banata,બનાના
raat,ઉંદર
tharki,ડંખ
horny,શિંગડા
hame,ફ્લુફ
humein,અમારો
humey,અમારો
prem,પ્રીમ
pranav,પ્રણવ
mein,ખાણ
planner,આયોજક
bahut,ઘણા
chandan,ચંદન
daddy,પપ્પા
baba,બાબા
compatibility,સુસંગતતા
mommy,મમ્મી
momy,મોમી
mama,મામા
fuck,વાહિયાત
irritated,ખીજવવું
bye,બાય
bye bye,આવજો
tata,ટાટા
driving,ડ્રાઇવિંગ
roadtrip,માર્ગ સફર
dj,ડીજે
beautiful,સુંદર
hillary,હિલેરી
means,અર્થ
election,ચૂંટણી
supported,આધારભૂત
vote,મત
superwoman,સુપરવુમન
her,તેણીના
again,ફરી
back,પાછા
wizard,વિઝાર્ડ
withcraft,મેલીવિદ્યા
winner,વિજેતા
winning,વિજેતા
hillary clinton,હિલેરી ક્લિન્ટન
clinton,ક્લિન્ટન
she,તે
choice,પસંદગી
choose,પસંદ કરો
select,પસંદ કરો
opt,પસંદ કરો
speech,ભાષણ
deck,તૂતક
boxing,બોક્સીંગ
ring,રિંગ
gloves,મોજા
warrior,યોદ્ધા
right,બરાબર
five,પાંચ
5,5
!,!
exclamation,ઉદ્ગારવાચક
ice cube,બરફનું ચોસલુ
tv,ટીવી
screen,સ્ક્રીન
smart response,સ્માર્ટ પ્રતિસાદ
acknowledge,સ્વીકારો
filler,પૂરક
interactions,ક્રિયાપ્રતિક્રિયાઓ
bubble,બબલ
cube,સમઘન
ice,બરફ
thought,વિચાર્યું
thought bubble,વિચાર્યું બબલ
oh my god,ઓહ ભગવાન
shit,છી
damn,ધિક્કાર
fish,માછલી
hulk,હલ્ક
avenger,બદલો લેનાર
dumbbell,ડમ્બલ
fire,આગ
firey,અગ્નિ
devil,શેતાન
zzz,zzz
good night,શુભ રાત્રી
muah,મુઆહ
lips,હોઠ
kiss,ચુંબન
yipii,ઇ.પી.
wohoo,વહુ
yay!,હા!
hurrah,હરરે
great news,સરસ સમાચાર
kisses,ચુંબન
lovey dovey,લવરી ડોવે
lovely,મનોરમ
xoxo,xoxo
love and hugs,પ્રેમ અને આલિંગન
HUGS,HUGS
hugzzz,hugzzz
gone,ગયો
hehe,હેહે
too hot,ખૂબ ગરમ
ooo,ooo
so hot,ખૂબ ગરમ
fanning,ફેનિંગ
peace,શાંતિ
peace out,શાંતિ બહાર
calm down,શાંત થાઓ
angel,દેવદૂત
mug,પ્યાલો
celebrate,ઉજવણી
arghh,arghh
irritate,બળતરા
pissed off,પીઝ્ડ
gosh,ગોશ
aaaa,YYYY
please,કૃપા કરીને
pls,pls
plis,વધુ
puppy face,કુરકુરિયું ચહેરો
puppy,કુરકુરિયું
face,ચહેરો
please please,કૃપા કરીને
xmas,ક્રિસ્ટમસ શબ્દનું ટૂંકું રૂપ
xmas tree,ક્રિસ્ટમસ શબ્દનું ટૂંકું રૂપ વૃક્ષ
christmas decorations,નાતાલ સજાવટ
sweater,સ્વેટર
christmas,નાતાલ
window,વિંડો
jumper,જમ્પર
merry christmas,મેરી નાતાલ
rudolf reindeer,રુડોલ્ફ રેન્ડીયર
ugly,નીચ
ugly sweater,નીચ સ્વેટર
festival,તહેવાર
snowman,સ્નોમેન
snow,બરફ
christmas cap,નાતાલ કેપ
snowball,સ્નોબોલ
sing,ગાઓ
violin,વાયોલિન
flakes,ટુકડાઓમાં
christmas carol,નાતાલ નું પ્રાર્થનાગીત
holiday season,રજા મોસમ
happy holiday,હેપી હોલિડે
ho,રક્ષણ
santa,સાન્તા
santa claus,સાન્તાક્લોઝ
oak tree,ઓક ટ્રી
snowballs,સ્નોબsલ્સ
snowflakes,સ્નોવફ્લેક્સ
presents,ભેટ
gifts,ભેટ
christmas presents,ક્રિસમસ ભેટો
christmas present,નાતાલ હાજર
