bobble,ڪوبہ
zombie,زومبي
hahaha,هاهاه
laughter,مهنجو
wicked laugh,خراب کلڻ
scary,ڊپيو
tight,تنگ
honey,ماکي
grilfriend,پياري
college days,ڪاليج جا ڏينهن
older,پراڻا
young,جوان
younger,ننڍي
retro,ريٽرو
yearn,مزو
booo,بوو
witch,وڇوڙي
flying,اڏام
ghosts,گھوڙا
spooky,چمڪندڙ
chudail,وڇوڙي
shinning,چمڪندڙ
bright,روشن
frieds,فرائز
really,واقعي
chat,چيٽ
friendships,دوستي
stunned,دنگر
hmmm,هيم
hmm,هيم
pondering,جوڳي
contemplating,سوچڻ
think,سوچيو
thoughtful,سمجھو
thoughts,تصورات
hahah,هائو
bahaha,بها
joking,مذاق
hansna,کلڻ لاء
thanks,مھرباني
thank you,توهان جي مهرباني
thank,مهرباني
help,مدد
welcome,ڀلي ڪري آيا
thanking,ڇڪڻ
get,وڃ
get out,ٻاهر نڪر
chakra,چڪر
go,وڃ
fuck off,آخر بند
superhero,هيريرو
whatsup,ڇا ٿي رهيو آ
ssup,ايس ايس
whaddup,وينديو
whatup,ڇاپيو
watsup,واٽس اپ
happing,خوشي ٿي
opening,کولڻ
coversation,گفتگو
start,شروع ڪيو
converse,ڪچهري
free,واندو
freebird,آزاد پکي
freedom,آزادي
break,ٽوڙڻ
jatt,جت
fly,اڏام
air,هوائي
super,سپر
stoned,سنگاپور
starter,اسٽارٽر
solar,شمسي
activate,چالو ڪيو
functionality,ڪارڪردگي
character,ڪردار
powerful,طاقتور
stronger,مضبوط
like,وانگر
lve,لي
flirting,ٽڪرائڻ
flatter,خوشامد
u,۾
affair,مامرو
caught,پڪڙيو ويو
ya,مان
caught you,توهان کي پڪڙيو
pakad,رکو
liye,لاءِ
he,هن چيو
everyday,روزاني
howdy,ڪيترو
namaste,هيلو
group chat,گروپ چيٽ
feel,محسوس ڪر
strength,طاقت
attack,حملو
protector,محافظ
bored,بيهاريو
m,ميم
boring,بورنگ
plans,منصوبو
run,هلندو
running,هلندو
zap,زاپ
zoom,وڏو ڪري ڏسو
storm out,طوفان
exit,نڪرڻ
go away,هليو وڄ
dissappear,غائب ٿي ويو
leave,ڇڏ
have,آهن
a,الف
plan,منصوبو
planning,منصوبابندي
idea,خيال
trick,چال
plan of action,عمل جو منصوبو
tvf pitchers,ٽي وي ايف جا ٿڌا
pitchers,صليب
beer,بيئر
tvf,ٽي ويف
viral,وائرل
peeney,پيئڻ
peena,پيئڻ لاء
bhati,ڀٽي
navin,navin
navin bansal,نيوين بينسن
glass,گلاس
hun,انهن جي
bansal,بانسال
botal,بوتل
nikla,نڪتل
bahunga,ٿيندو
hoon,هون
behna,اچار
behunga,اهي صلاح مشورا هئا
bahar,بهار جو وقت
invest,سيڙپڪاري
investor,سيڙپڪاري
funding,پئسي ڏيڻ
drunk night,مست آهي رات
height,اوچائي
sexism,جنسيشاني
of,مان
gunda,ڳوٺا
entrepreneur,واپار ڪندڙ
startup,شروع ڪريو
invester,سيڙپڪاري
presentation,بيان
ladki,ڇوڪري
tum,تون
kyu,کويو
why,ڇو
boygang,boygang
boys,ڇوڪرو
let,اچو
going,وڃي رهيو آهي
leaving,ڇڏڻ
privacy,رازداري
mail,ٽپال
myth,خرافات
owners,زميندارن
men,ماڻهون
email,اي ميل
letter,خط
smartass,سمارٽاس
smart ass,سمارٽ گدا
work culture,ڪم ڪلچر
workplace,ڪم جي جڳهه
pechkas,چلهو
app,ايپ
khoj,ڳولها
discover,ڳولها
idiotic,محاورا
old man,پوڙهو ماڻهو
tease,ٽائيم
never,ڪڏهن به نه
quit,ڇڏڻ
back down,پوئتي پيل
failure,ناڪام
motivation,پيداوار
motivator,مشق
chutiya,پنچ
fucker,گزري
wearing,ڪپڙو
serious,سنجيده
specs,چشمي
papa,پاپا
fail,ناڪام
toh do,toh
mauka,امڪان
dad,بابا
pissed,ناراض
annoyed,نڀاڳيو
joint,گڏيل
doobie,ڊوبي
family,خاندان
chitwan,چيوان
chitvan,چتران
chanchal,حيرت انگيز
logo,لوگو
whatsapp,ڇاپس
pregnant,گندو آهي
praja,praja
banata,پابنديون
raat,raat
tharki,اسٽنگ
horny,وڏا
hame,فلف
humein,اسان جي
humey,اسان جي
prem,پريم
pranav,پراڻ
mein,مان
planner,رٿيندڙ
bahut,گهڻا
chandan,صندل
daddy,پيء
baba,بابا
compatibility,مطابقت
mommy,مامي
momy,ڏکيو
mama,ماما
fuck,آخر
irritated,ٽڙندا
bye,خدا حافظ
bye bye,خدا حافظ
tata,ٽاتا
driving,گاڏي
roadtrip,رستي جو سفر
dj,dj
beautiful,خوبصورت
hillary,ٽڪريء تي
means,مطلب
election,چونڊ
supported,مدد ڪئي
vote,ووٽ
superwoman,سپرسون
her,هن چيو
again,ٻيهر
back,پوئتي
wizard,مددگار
withcraft,جادوگر
winner,فاتح
winning,کٽڻ
hillary clinton,ٽاڪرواري ڪلٽنٽن
clinton,ڪلٽنٽن
she,هوء
choice,پسند
choose,چونڊيو
select,چونڊيو
opt,آپٽ ڪيو
speech,تقرير
deck,ڊڪ
boxing,باڪسنگ
ring,منڊي
gloves,دستانو
warrior,وارث
right,ساڄو
five,پنج
5,5
!,!
exclamation,وصف
ice cube,برف جو ڪيوب
tv,ٽي وي
screen,اسڪرين
smart response,سمورو جواب
acknowledge,تسليم ڪيو
filler,خال ڀريو
interactions,ڳالهائڻ
bubble,بلبل
cube,ڪعبي
ice,برف
thought,سوچيم
thought bubble,سوچي بلبل
oh my god,اوه منهنجا خدا
shit,ڦاٽي
damn,ڇنڊ
fish,مڇي
hulk,هشڪ
avenger,ايمربر
dumbbell,گونگا
fire,باھ
firey,آتش
devil,شيطان
zzz,zzz
good night,رات جو سلام
muah,مان
lips,لب
kiss,چمي
yipii,EP
wohoo,وهنو
yay!,اهن
hurrah,هورا
great news,عظيم خبر
kisses,بوهي
lovey dovey,پياريو ڪرايو
lovely,پيارو
xoxo,xoxo
love and hugs,پيار ۽ ڀاڪر
HUGS,HUGS
hugzzz,ڪڪڙ
gone,هليو ويو
hehe,هو
too hot,تمام گرم
ooo,اهن
so hot,تمام گرم
fanning,anningيرائڻ
peace,سلام
peace out,امن امان
calm down,ٿدو ٿي
angel,فرشتو
mug,پيالو
celebrate,جشن
arghh,ارخ
irritate,خوفناڪ آهي
pissed off,بند ٿي وئي
gosh,گوش
aaaa,مھينو
please,مهرباني ڪري
pls,پلازما
plis,وڌيڪ
puppy face,پوپٽ جو منهن
puppy,پوپ
face,چهرو
please please,مهرباني ڪري مهرباني ڪري
xmas,ڪرسمس
xmas tree,xmas وڻ
christmas decorations,ڪرسمس جو سينگار
sweater,سویٹر
christmas,ڪرسمس
window,دري
jumper,جمپر
merry christmas,ميري ڪرسمس
rudolf reindeer,ريوفورڊ رچرڊ
ugly,بدصورت
ugly sweater,بدصورت سویٹر
festival,ميلو
snowman,برفاني
snow,برف آهي
christmas cap,ڪرسمس ڪيپ
snowball,برف بال
sing,ڳئون
violin,وائلن
flakes,فلاشي
christmas carol,ڪرسمس ڪرول
holiday season,موڪل جو موسم
happy holiday,موڪل جو ڏينهن مبارڪ
ho,تحفظ
santa,سنتا
santa claus,سانتا کلاز
oak tree,اوڪي وڻ
snowballs,برف بال
snowflakes,برف واريون
presents,تحفو
gifts,تحفا
christmas presents,مسيحي ڪارڻ
christmas present,ڪرسمس جو تحفو
reindeer,ريڊيڪر
rudolf,روڊيل
sleigh,آهستي
chimney,چمني
hallelujah,هڪجهڙائي
bow,رڪوع
decorations,سجاڳي
green,سائو
candle,ميڻ بتي
claus,ڪلس
ribbon,ربن
jolly,اھو آھي
times,ڀيرا
wreath,وئين
snow flakes,برف واريون
grinch,پوڻ
xmas present,ڪرسمس موجود آهي
xmas gift,ڪرسمس جو تحفو
christmas gift,ڪرسمس جو تحفو
merry,ميري
christmas cake,مسيحي ڪيڪ
christmas pudding,ڪرسمس جو پدو
christmas pie,ڪرسمس پائي
socks,جرٽ
stockings,جرابين
fire place,باهه جڳهه
cup,ڪوپ
coffee,ڪافي
red sweater,ڳاڙهو سواري
christmas tree,عيسائين جو وڻ
christmas socks,ڪرسمس جرابون
jingle,چرڪڻ
along,گڏ
bells,ٽڪڙا
jingle bells,گنگر جي گھنٽرن
kahan,ڪٿي
chupaya,لڪايو
throw,ڌوڙ
throwing,اڇلائڻ
our,اسان جي
pouring,وهڻ
meri,ڪسٽم
pichkari,Atomizer
pakdo,تي رک
colours,رنگن
rang,اچو
holi hai,اها هولي آهي
tshirt,tshirt
thoda,ٿورڙو
de,مان
na,تي
colour,رنگ
colors,رنگن
color,رنگ
gubbare,گولا بار ڪرڻ
balloons,گببار
water balloon,پاڻي وارو بالون
phod,ٿي رهيو آهي
burst,ڦاٽي
dunga,ڪنگا
tere,ٽاريو
your,تنهنجو
bursting,ڦاٽي رهيو آهي
balti,اڇو
or,يا
bhaang,ٽوڙيو
bhang,ڪيوابس
mujpe,مان
matt,مٽي
dalo,دالو
daalo,ختم ٿي ويو
bheeg,وھن
geeli,عوام
gai,سنڌ
drenched,مٺو
drench,ريچينج
pani,لکيا
maal,ڀيرا
puye,پائي
sweets,مٺايون
mithai,مٺايون
sweet tooth,مٺي ڏند
sugar,کنڊ
tray,ٽري
dhol,ڊرم
lets,اجازت ڏيو
play holi,هولي کيڏو
anu malik,واپس آهن
akshay kumar,اکشا ڪمار
drums,ڊرم
celebratory,جشن
hollii,Hollier
holii,هولي
wishing,خواهشون
wishes,خواهشون
mubarak,ممبئي
happy holi,خوش هلو
buckets,بيڪري
baalti,بتي
bura,چولي
mano,منو
maano,جيئن ته
jumping,ٽپو
bhabhi,بابي
ko,ko
baahar,بهار
nikaalo,ٻاهر ڪڍو
gun,بندوق
wali,سرپرست
balam,بلال
jo,اڳ ۾ ئي
tune,دانهون
mujhe maari,مون کي مارو
muje,عورت
bade,وڏو
josh,جوش
water gun,پاڻي بندوق
held,رکيل آهي
hold,ڏس
aaj,اڄ
chhodunga,ڇڏيندس
chodunga,ڇڏيندس
Ma durga,هن کي دوگر ڪيو
durga,دوائيندڙ
durga pujo,دوانگ پجا
durga pujan,درگا پوجن
poojan,عبادت
pujo,پوجو
bengal,بنگل
bengali,بنگالي
trishul,trishul
trishool,ٽرافي
goddess,ديوي
korchich,ڪيچچ
navami,نيوامي
dine,پنهنجي
talking,ڳالهائڻ
celebrating,جشن
dussehra,ڪامريڊ
indian,هندستاني
jama,رستي ۾
kapor,dill
kinli,kinli
bong,بون
bongoli,ليکڪ
pranaam,پرانام
pronam,stooped
touching,ڳولڻ
feet,پير
father,پيء
elder,وڏو
respect,عزت
gratitude,مهرباني
greet,سلام
pandal,پنڊل
pandel,پنڊيل
ghurte,موڙڻ
jabi,جيبي
when,جڏهن
tent,خيمو
venue,جڳهه
event,واقعي
pujan,عبادت
wink,وقار
naughty,شرارتي
wear,لباس
lanka,لنڪا
naresh,نشي
ravan,اڃا به
raavan,راوان
heads,سر
ten,ڏهه
ten heads,ڏهن سر
ravana,رانا
hapy,هاپي
dushera,ڊيشهره
greetings,مبارڪون
dandiya,ڪاٺ
dandeeya,ڊينڊيا
dandiya raas,دندن راس
dandiya sticks,دندن جي لٺيون
traditionalc,روايتي
handsome,سهڻو
fold,ٻيو
hands,هٿ
folding,فولڊنگ
folded,ٽٻڪن
saree,سويئر
white,اڇو
saare,ٻيٽ
sari,ساري
bengali sari,بنگلا سرياري
bengali saaree,بنگالي سٺي
ye,آهي
dosti,ڪافي
hum,ڌماڪو
hani,پتي تي
todenge,وقفو ٿيندو
todengey,وقفو ٿيندو
nig,ننڊ
nigga,اينگگا
raised,اٿاريو
langotiya,ڊاٽو
boxer,باڪسر
shorts,شارٽس
nude,ننگو
soul,روح
sisters,ڀينر
sister,ڀيڻ
humari,اسان جو
yari,هي هيو
yaari,يواري
sabse,سڀ کان وڌيڪ
pyari,هي پيارو
pyaari,ڊارون
har,ڪئي
ik,I.
kamina,باه واري جڳه
kameena,بيڪار
hota,ھا
zaroori,ضروري
kyunki,ڇو ته
bros,Bros
hoes,هڏن
befo,بيفون
kaminey,kaminey
kamnia,kamnia
etc,وغيره
bestfriend,بهترين دوست
nice,ڀلو
ce;ebrating,جشن
kahaan,چئي ڏيو
sista,آخري
sis,ايس
behen,جاء
behan,رهندو
bahan,جا اجزا
shubh,آڌار
raksha,حفاظت ڪريو
bandhan,بانڊ
hand,هٿ
broda,ٻيڙي
raksha bandhan,رکشا باندان
raksh,حفاظت ڪريو
rakhi,رخي
demand,مطالبو
demanding,مطالبو ڪندڙ
holding,نوڪري
dhaga,ڦاٿل
lut,solder
loot,ڦٽ
gaya,انداز
gya,گيا
lutt,pacifier
kangaal,پيٽو
thaali,Dali
thali,ٿاڻي
rakshabandhan,راشابندان
bhaiya,ور
loving,پيار ڪندڙ
rakhis,راجن
sisbling,ڳاڙهو
kin,مائٽ
cousins,کزن
cousin,سوٽ
rkshabandhan,راشابندان
ethnic,نسلي
ndian,رول ڪرڻ
hazaaron,هزارين
rakhii,سوار
prank,مذاق
officemate,انتظاميه
lying,ڪوڙ
youre,تون ئي
jhoot,ڪوڙ
jhut,ڪوڙ
kauwa,غلام
kaate,ڪٽيو
found,مليو
pakda,پڪاريو
liya,ائين ڪيو
foolish,بيوقوف
fool,بيوقوف
budhu,مهاتما
paagal,پينگال
paglait,حقارت
fools,بيوقوف
every,هرڪو
clown,جوڙو
joker,جوڪر
halt,هال
ruko,خريد جو گھر
ruk jao,رکو
chup,چپ
ullu,اولو
whats,ڇا آهي
scorer,اسڪيلر
scorecard,سکوڊ ڪارڊ
twice,ٻيهر
shame,شرم اچي
fingers,آڱريون
floor,منزل
cnaa,گرام
dare,راضي ٿيو
challenge,چيلنج
accepted,قبول ڪيو
believe,يقين رکو
yakeen,هن جي
karo,ڪاڇو هئي
fooled,بيوقوف
it,اهو
dammit,حمايتي
trust,اعتماد
crossed,گذريو ويو
cross,پار
makeup,ٺاهڻ
make up,ٺاهڻ
waah,واهه
wahh,واھ
kya,ڇا
teasing,ٽڪر
rangg,ٿڌو
holi party,هالي پارٽي
khelte,کيڏڻ
chalo,لالو ھليو آيو
rangon,درجو
ab,کان
toh,toh
balloon,oonوڪڻ
ke,مان
lad,ڇوڪريون
gande,سڪل
kapde,ڪپڙا
dressed,پوشاڪ
coloured,رنگين
colored,رنگين
chun,ڏانهن
rangoongi,rangoongi
raising,وڏو ڪرڻ
raise,اٿي
glasses,شيشي
toast,ٽينڪ
kab,ڪاب
gabbar,صحت
gubbar,ماڻھن کي
sholay,شيشي
keh,ھا آھن
maarunga,ماري ڇڏيندو
hoga,ٿيندو
re,وري
kaaliya,ڪليا
kaliya,بس
holi colours,هوري رنگن
barse,بارس
bheegey,وھن
chunar,چنيار
may,مئي
irish,آئرستاني
st patricks day,ڪٽي ڏينهن پيٽرڪ
st,st
patricks,پيٽرڪ
lucky,خوش قسمت آهي
goodluck,سدا خوشقسمت رهو
upon,تي
greets,نوڪريون
patty,پاڪ
feast,فيض
pattys,محب وطن
celebrations,جشن
feasts,پيارو
elebrate,جشن
ireland,آئرلينڊ
wman,ومان
troubles,ڏکيو
less,گھٽ
im,مان
believer,مؤمن
sitting,ويٺي
everyone,هرڪو
everyones,هرز
few,ڪجهه
beers,ٻرندڙ
beer glass,بيئر گلاس
drining,مشق
bar,بار
coins,سڪا
gold,سون
wealth,مال
treasure,خزانو
rise,اڀرو
chap,چپ
until,جيستائين
taking,وٺڻ
adios,باءِ
beerglass,ڇانو
partying,گڏجاڻي
ramzan,رامان
mobarak,برڪت وارو
mosque,مسجد
look,ڏسو
chand,چاند
terrace,ڇت
dekho,ڏس
keep,رکو
calm,پرس
and,۽
iftar,iftar
iftaar,افطار
dinner,رات جي ماني
eid,عيد
fitr,مثل آهي
fitar,ٻاهر
many,گهڻا
gang,ٽولو
milna,ملير
milne,ملندو
ramadan,رمضان
kareen,ڪندين
ramadaan,رمضان
allah,خدا
bhaijaan,ڀاء
insha,انشاء
inshaa,ٺاهيو
beard,ٻاجهه
praying,ٿڪجي پيو
pray,دعا ڪر
masjid,مسجد
namaz,نماز
namaaz,ناماز
padhna,پڙهڻ
subhan,پاڪائي آهي
ka,يا
mullah,ملا
beat,مارو
gamer,محفل
gamechanger,گیمچينجر
gamechange,گوگل جو نشان
basketball,باسڪيٽ بال
football,فوٽ بال
rio,ريو
in rio,ريو ۾
give,ڏيو
hoolahhoop,فوجي گڏ
hoolah hoop,هون ٽوپ
gymnast,جمناسٽڪ
just,بس
cycle,چڪر
riding,سواري
racing,ريسنگ
racer,رزق
gear,ڀٽائي
brazil,برازيل
olympic,اولیمپڪ
olympics,اوپيڊڪس
indian olympics,انڊين اولمپڪڪس
india olympics,هندستان اولمپڪس
mascot,ماسڪٽ
big,وڏو
game,راند
changer,تبديل ڪندڙ
sportsman,راندين جو
sportsmen,راندين جا رانديگر
ready,تيار ٿيو
olympian,اومپپياڻ
sportsmn,راندين جو
baseball,بيس بال
hockey,هاکي
training,تربيت
practice,مشق
practise,مشق
practising,مشق
workout,ورزش
working out,ٻاهر ڪم ڪرڻ
aim,مقصد
work out,ورزش
weight,وزن
gym,جم
basanti,بونٽي
rang de basanti,ٽي ٽي ڌريون ڏين
citizen,شهري
indian citizen,هندستاني شهري
shirtless,بيشمار
an,هڪ
is great,عظيم آهي
saffron,زعفران
lal quila,ڪمال رليلا
bharat,bharat
mahan,مهان
mahaan,عظيم
tajmahal,تاج محل
taj,ڇڙو
jhanda,پرچم
uncha,ھاء
rahe,رکو
humara,humara
flag,پرچم
national flag,قومي پرچم
saare jahan se acha,سٺين کان مٿان
tiranga,Tricolor
independence,آزادي
inquilaab,ڳولا ڪرڻ
zindabad,زنده آباد
struggle,جدوجهد
namaskar,سلام
jai,جائي
cheering,جان
vande,vande
matram,جي
mataram,ميٽرام
wearng,ڪپڙو
deva,شيطان
shree,شيشي
ganesha,گنيه
agle,اڳيون
baras,بار
jaldi,شروعاتي
aana,ان کي آڻ
statues,مجسما
ganapati,گانٽي
laddu,لاڊو
laddoo,Brownies
gaj,رستو
gaja,رستو
undir,جي
rat,چوٿون
ganesh,ٻيوش
prayer,نماز
puja,پوجا
chaturthi,چوريورائي
ganpati,گانٽي
bappa,پيء
morya,سمنڊ
modak,موڪي
ganapti,گنپٽي
tasha,تشا
bajao,اجهو
pointing,اشارو ڪندي
finger,آڱر
school dress,اسڪول جو لباس
school uniform,اسڪول يونيفارم
female,عورت
inspiration,प्रेरاني
most,گهڻو ڪري
inspiring,متاثر ڪندڙ
teacher,استاد
mam,مون کي ڪيو آهي
copy,ڪاپي
slate,ننڍو
board,بورڊ
favourite,پسنديده
favorite,پسنديده
nicker,هيٺ
nickers,نڪري
shoes,بوٽ
maim,مان آهيان
madam,چريو
spectacles,چشما
bespectacled,گهڻا
hindi teacher,ھندي استاد
forget,وساريو
school boy,اسڪول ڇوڪرو
chart,چارٽ
remember,ياد رکو
school kid,اسڪول ٻارڙا
male,نر
medal,ميڊل
competition,هجن
belt,بيلٽ
teachers,استاد
rose,اٿي
boutique,بوٽڪو
flowers,گلن
roses,گلاب
inspire,متاثر ڪيو
inspirational,متاثر ڪندڙ
pot,برتن
matki,ماء
janamshatami,Janansatamai
janmashtami,جنمشتامي
butter milk,مکڻ کير
janamshatami janmashtami,پيدائش طرفان ميگهشتامي
butter,مکڻ
buttermilk,مکڻ
makkhan,مکڻ
malai,پهاڙي
pots,ڦٽا
baal,بليال
bal,بال
gopal,گوپال
gopala,گوپي
matkii,ميوٽيٽ
chor,چيڙ
maakhan,ميخان
makhan,مکڻ
steal,چوري ڪيو
stealing,چورائڻ
cream,ڪريم
kanhaiya,kanhaiya
lala,لالا
laal,ڳاڙهو
krishna,ڪرشن
baansuri,بانسري
flute,بانسري
peacock,مور
joy,خوشي
brithday,سالگراه
janamashtmi,جنمشتامي
go go govinda,وڃ گووندا وڃ
govinda,govinda
matki phod,مائونڊ فوڊ
chal,چڙهو
phodte,ٿي رهيو آهي
janamashtami,جنمشتامي
yashoda,يشدو
yashodah,يشدو
yashodha,يشدو
nandlala,هلو
govind,گوبند
suck,چوڙي
blood,رت
undead,اڻڄاتل
vampire,ویمپائر
alien,اجنبي
bhoot,گھوڙا
stick,لٺ
take,وٺو
castle,قلعو
werewolf,ويٺا آهيو
half,اڌ
tiger,شگر
crush,سڙڻ
bones,هڏا
fangs,فنگس
