bobble,बडबड
flying,उड्डाण करणारे हवाई परिवहन
ghosts,भूते
spooky,भितीदायक
chudail,डायन
shinning,चमकत
bright,तेजस्वी
frieds,तळलेले
really,खरोखर
chat,गप्पा
friendships,मैत्री
stunned,स्तब्ध
hmmm,हं
hmm,हं
pondering,विचार करणे
contemplating,चिंतन
think,विचार करा
thoughtful,विचारशील
thoughts,विचार
hahah,हाहाहा
bahaha,बहाहा
joking,विनोद
hansna,हसणे
thanks,धन्यवाद
thank you,धन्यवाद
thank,धन्यवाद
help,मदत
welcome,स्वागत आहे
thanking,धन्यवाद
get,मिळवा
get out,चालता हो
chakra,चक्र
go,जा
fuck off,संभोग
superhero,सुपरहीरो
whatsup,काय
ssup,ssup
whaddup,वडदूप
whatup,काय
watsup,वॉट्सअप
happing,आनंदी
opening,उघडत आहे
coversation,संभाषण
start,प्रारंभ करा
converse,संभाषण
free,फुकट
freebird,मुक्त पक्षी
freedom,स्वातंत्र्य
break,ब्रेक
jatt,जट्ट
fly,उडणे
air,हवा
super,उत्कृष्ट
stoned,दगडमार
starter,स्टार्टर
solar,सौर
activate,सक्रिय करा
functionality,कार्यक्षमता
character,वर्ण
powerful,शक्तिशाली
stronger,मजबूत
like,आवडले
lve,lve
flirting,फ्लर्टिंग
flatter,चापट
u,मध्ये
affair,प्रेम प्रकरण
caught,झेल
ya,च्या
caught you,तुला पकडले
pakad,धरा
liye,साठी
he,तो
everyday,रोज
howdy,कसे
namaste,नमस्कार
group chat,गट गप्पा
feel,वाटत
strength,सामर्थ्य
attack,हल्ला
protector,रक्षक
bored,कंटाळा आला आहे
m,मी
boring,कंटाळवाणा
plans,योजना
run,चालवा
running,चालू आहे
zap,झॅप
zoom,झूम करा
storm out,वादळ बाहेर
exit,बाहेर पडा
go away,निघून जा
dissappear,नाहीसे होणे
leave,सोडा
have,आहे
a,अ
plan,योजना
planning,नियोजन
idea,कल्पना
trick,युक्ती
plan of action,कृती योजना
tvf pitchers,टीव्हीएफ पिचर
pitchers,घागरी
beer,बिअर
tvf,टीव्हीएफ
viral,व्हायरल
peeney,मद्यपान
peena,पिण्यासाठी
bhati,भाटी
navin,navin
navin bansal,नवीन बन्सल
glass,काच
hun,त्यांचे
bansal,बन्सल
botal,बाटली
nikla,निकेल
bahunga,होईल
hoon,हून
behna,behna
behunga,ते सल्लामसलत करीत होते
bahar,वसंत .तू
invest,गुंतवणूक
investor,गुंतवणूकदार
funding,निधी
drunk night,नशेत रात्र
height,उंची
sexism,लैंगिकता
of,च्या
gunda,गुंडा
entrepreneur,उद्योजक
startup,स्टार्टअप
invester,गुंतवणूकदार
presentation,सादरीकरण
ladki,मुलगी
tum,टम
kyu,क्यू
why,का
boygang,boygang
boys,मुले
let,द्या
going,जाणे
leaving,सोडत आहे
privacy,गोपनीयता
mail,मेल
myth,दंतकथा
owners,मालक
men,पुरुष
email,ईमेल
letter,पत्र
smartass,स्मार्टस
smart ass,स्मार्ट गाढव
work culture,कार्य संस्कृती
workplace,कामाची जागा
pechkas,स्टोव्ह
app,अॅप
khoj,शोध
discover,शोधा
idiotic,मुर्खपणा
old man,म्हातारा माणूस
tease,छेडणे
never,कधीही नाही
quit,सोडा
back down,परत खाली
failure,अपयश
motivation,प्रेरणा
motivator,प्रेरक
chutiya,चिमूटभर
fucker,संभोग करणारा
wearing,परिधान केले
serious,गंभीर
specs,चष्मा
papa,पापा
fail,अपयशी
toh do,Toh करू
mauka,शक्यता
dad,वडील
pissed,निराश
annoyed,नाराज
joint,संयुक्त
doobie,डूबी
family,कुटुंब
chitwan,चितवन
chitvan,चितवन
chanchal,चंचल
logo,लोगो
whatsapp,व्हाट्सएप
pregnant,गर्भवती
praja,प्रजा
banata,केळी
raat,उंदीर
tharki,डंक
horny,खडबडीत
hame,फ्लफ
humein,आमचा
humey,आमचा
prem,प्रीम
pranav,प्रणव
mein,माझे
planner,योजना करणारा
bahut,अनेक
chandan,चंदन
daddy,वडील
baba,बाबा
compatibility,अनुकूलता
mommy,आई
momy,मॉमी
mama,आई
fuck,संभोग
irritated,चिडचिड
bye,बाय
bye bye,बाय बाय
tata,टाटा
driving,ड्रायव्हिंग
roadtrip,रोडस्ट्रिप
dj,डीजे
beautiful,सुंदर
hillary,हिलरी
means,म्हणजे
election,निवडणूक
supported,समर्थित
vote,मत
superwoman,सुपरवुमन
her,तिला
again,पुन्हा
back,परत
wizard,विझार्ड
withcraft,जादूटोणा
winner,विजेता
winning,जिंकणे
hillary clinton,हिलरी क्लिंटन
clinton,क्लिंटन
she,ती
choice,निवड
choose,निवडा
select,निवडा
opt,निवड
speech,भाषण
deck,डेक
boxing,बॉक्सिंग
ring,रिंग
gloves,हातमोजा
warrior,योद्धा
right,बरोबर
five,पाच
5,5
!,!
exclamation,उद्गार
ice cube,बर्फ घन
tv,टीव्ही
screen,स्क्रीन
smart response,स्मार्ट प्रतिसाद
acknowledge,कबूल करा
filler,भराव
interactions,परस्परसंवाद
bubble,बबल
cube,घन
ice,बर्फ
thought,विचार
thought bubble,विचार बबल
oh my god,अरे देवा
shit,कचरा
damn,धिक्कार
fish,मासे
hulk,हल्क
avenger,सूड घेणे
dumbbell,डंबेल
fire,आग
firey,अग्निमय
devil,भूत
zzz,zzz
good night,शुभ रात्री
muah,muah
lips,ओठ
kiss,चुंबन
yipii,ईपी
wohoo,वाह
yay!,होय!
hurrah,हर्रे
great news,उत्तम बातमी
kisses,चुंबन
lovey dovey,लवडी डोवे
lovely,सुंदर
xoxo,xoxo
love and hugs,प्रेम आणि मिठी
HUGS,मिठ्या
hugzzz,hugzzz
gone,गेले
hehe,हे
too hot,खूप गरम
ooo,ओओओ
so hot,खूप गरम
fanning,फॅनिंग
peace,शांतता
peace out,शांतता बाहेर
calm down,शांत व्हा
angel,परी
mug,घोकंपट्टी
celebrate,साजरा करणे
arghh,अर्घ
irritate,संतप्त
pissed off,निराश
gosh,गॉश
aaaa,वर्ष
please,कृपया
pls,कृपया
plis,अधिक
puppy face,गर्विष्ठ चेहरा
puppy,गर्विष्ठ तरुण
face,चेहरा
please please,कृपया कृपया
xmas,ख्रिसमस
xmas tree,ख्रिसमस ट्री
