bobble,ਬੌਬਲ
brothers,ਭਰਾ
dead,ਮਰੇ
bhai,ਭਾਈ
buddy,ਬੱਡੀ
bud,ਮੁਕੁਲ
bro,ਭਰਾ
t shirt,ਟੀ ਕਮੀਜ਼
shirt,ਕਮੀਜ਼
tee,ਟੀ
t,ਟੀ
brother,ਭਰਾ
borrow,ਉਧਾਰ
loan,ਕਰਜ਼ਾ
owe,ਰਿਣੀ ਹੈ
bill,ਬਿੱਲ
check,ਚੈਕ
no balance,ਕੋਈ ਬਕਾਇਆ ਨਹੀਂ
pay,ਭੁਗਤਾਨ ਕਰੋ
restaurant,ਭੋਜਨਾਲਾ
bro brother,ਭਰਾ ਭਰਾ
extra,ਵਾਧੂ
ask,ਪੁੱਛੋ
snack,ਸਨੈਕ
snacking,ਸਨੈਕਿੰਗ
bhel,ਭੇਲ
more,ਹੋਰ
munching,ਚੁੱਪ
hogging,ਹੋਗਿੰਗ
snacks,ਸਨੈਕਸ
note,ਨੋਟ
girls night,ਕੁੜੀਆਂ ਰਾਤ
girls night out,ਕੁੜੀਆਂ ਰਾਤ ਨੂੰ ਬਾਹਰ
ladies night,ਮਹਿਲਾ ਰਾਤ
broke girls,ਟੁੱਟੀਆਂ ਕੁੜੀਆਂ
clubbing,ਕਲੱਬਿੰਗ
club,ਕਲੱਬ
tonight,ਅੱਜ ਰਾਤ
lets party,ਚੱਲੋ ਪਾਰਟੀ ਕਰੀਏ
dancing,ਨੱਚਣਾ
women,.ਰਤਾਂ
thursday,ਵੀਰਵਾਰ
birthday,ਜਨਮਦਿਨ
gift,ਤੋਹਫਾ
present,ਮੌਜੂਦ
birthday gift,ਜਨਮਦਿਨ ਦਾ ਤੋਹਫਾ
birthday party,ਜਨਮਦਿਨ ਦੀ ਪਾਰਟੀ
kanjoos,ਕੰਜਰੀ
asking,ਪੁੱਛ ਰਿਹਾ ਹੈ
birthday present,ਜਨਮ ਦਿਨ ਦਾ ਤੋਹਫਾ
shopping,ਖਰੀਦਦਾਰੀ
shop,ਦੁਕਾਨ
cell phone,ਮੋਬਾਇਲ ਫੋਨ
urgent call,ਜ਼ਰੂਰੀ ਕਾਲ
no battery,ਬੈਟਰੀ ਨਹੀਂ
dead phone,ਮਰੇ ਹੋਏ ਫੋਨ
make,ਬਣਾਉਣ
scoorge,ਘੁਟਾਲਾ
yaar,ਕੌਣ
bruh,ਬਰੂ
chai,Tਾਹੋ
tea,ਚਾਹ
masala tea,ਮਸਾਲਾ ਚਾਹ
kadak chai,ਸਖਤ ਚਾਅ
cutting chai,ਵਾvestੀ ਚਾਹ
treat,ਦਾ ਇਲਾਜ
hangout,ਹੈਂਗ - ਆਊਟ
tea shop,ਚਾਹ ਦੀ ਦੁਕਾਨ
tea stall,ਚਾਹ ਦਾ ਸਟਾਲ
guys,ਮੁੰਡੇ
guy,ਮੁੰਡਾ
Demonetisation,Demonetisation
car pool,ਕਾਰ ਪੂਲ
cab pool,ਕੈਬ ਪੂਲ
cab sharing,ਕੈਬ ਸਾਂਝਾ
auto,ਆਟੋ
delhi auto,ਦਿਲੀ ਆਟੋ
taxi sharing,ਟੈਕਸੀ ਸਾਂਝਾ
travelling,ਯਾਤਰਾ
travel,ਯਾਤਰਾ
traveling,ਯਾਤਰਾ
friendship,ਦੋਸਤੀ
change,ਬਦਲੋ
big note,ਵੱਡਾ ਨੋਟ
five hundred note,ਪੰਜ ਸੌ ਦਾ ਨੋਟ
bill pay,ਬਿਲ ਦਾ ਭੁਗਤਾਨ
no change,ਕੋਈ ਤਬਦੀਲੀ ਨਹੀਂ
currency,ਮੁਦਰਾ
metro,ਮੈਟਰੋ
stuck,ਫਸਿਆ
got,ਮਿਲੀ
transport,ਆਵਾਜਾਈ
bus,ਬੱਸ
train,ਟ੍ਰੇਨ
metro train,ਮੈਟਰੋ ਰੇਲ
delhi metro,ਦਿਲੀ ਮੈਟਰੋ
delhi metro train,ਦਿੱਲੀ ਮੈਟਰੋ ਰੇਲ
mumbai metro,ਮੁੰਬੀ ਮੈਟਰੋ
local transport,ਸਥਾਨਕ ਟ੍ਰਾਂਸਪੋਰਟ
late,ਦੇਰ ਨਾਲ
late to work,ਕੰਮ ਕਰਨ ਵਿਚ ਦੇਰ
excuses,ਬਹਾਨਾ
worker,ਕਾਮਾ
employee,ਕਰਮਚਾਰੀ
office staff,ਦਫਤਰ ਦਾ ਸਟਾਫ
manager,ਮੈਨੇਜਰ
team,ਟੀਮ
suit,ਸੂਟ
cab,ਕੈਬ
cabbie,ਗੋਭੀ
cab guy,ਕੈਬ ਮੁੰਡਾ
driver,ਡਰਾਈਵਰ
taxi driver,ਟੈਕਸੀ ਚਲੌਣ ਵਾਲਾ
taxi,ਟੈਕਸੀ
auto driver,ਆਟੋ ਚਾਲਕ
route,ਮਾਰਗ
direction,ਦਿਸ਼ਾ
area,ਖੇਤਰ
took,ਲਿਆ
delayed,ਦੇਰੀ
latecomer,ਦੇਰ ਨਾਲ ਆਉਣ ਵਾਲਾ
navigation,ਨੇਵੀਗੇਸ਼ਨ
way,ਤਰੀਕਾ
road,ਸੜਕ
street,ਗਲੀ
procession,ਜਲੂਸ
job,ਨੌਕਰੀ
in laws,ਕਾਨੂੰਨਾਂ ਵਿਚ
mother in law,ਸੱਸ
father in law,ਸਹੁਰਾ
inlaws,inlaws
relatives,ਰਿਸ਼ਤੇਦਾਰ
married,ਸ਼ਾਦੀਸ਼ੁਦਾ
married employee,ਵਿਆਹੁਤਾ ਕਰਮਚਾਰੀ
bahane,ਬਹਾਨਾ
kaam,ਕੰਮ
office job,ਦਫਤਰ ਦੀ ਨੌਕਰੀ
office excuses,ਦਫਤਰ ਦੇ ਬਹਾਨੇ
loosemotions,mਿੱਲੀ
loose motions,looseਿੱਲੀ ਚਾਲ
sick,ਬਿਮਾਰ
sickness,ਬਿਮਾਰੀ
ill,ਬੀਮਾਰ
unwell,ਬੀਮਾਰ
late coming,ਦੇਰ ਨਾਲ ਆਉਣਾ
workexcuses,ਾ ਲ ਫ
member,ਸਦੱਸ
fake,ਫਰਜ਼ੀ
faking illness,ਭਿਆਨਕ ਬਿਮਾਰੀ
bad stomach,ਮਾੜਾ ਪੇਟ
stomach ache,ਢਿੱਡ ਵਿੱਚ ਦਰਦ
potty,ਪਾਟੀ
dump,ਡੰਪ
poop,ਕੂੜਾ
parents,ਮਾਪੇ
station,ਸਟੇਸ਼ਨ
pick,ਚੁੱਕੋ
railway station,ਰੇਲਵੇ ਸਟੇਸ਼ਨ
bus stand,ਬੱਸ ਸਟੈਂਡ
work excuses,ਕੰਮ ਦੇ ਬਹਾਨੇ
work place,ਕੰਮ ਵਾਲੀ ਥਾਂ
flat tyre,ਫਲੈਟ ਟਾਇਰ
puncture,ਪੰਚਚਰ
tyre,ਟਾਇਰ
broke down,ਟੂਟ ਜਾਣਾ
working,ਕੰਮ ਕਰਨਾ
sad employee,ਦੁਖੀ ਕਰਮਚਾਰੀ
on,ਚਾਲੂ
skipped,ਛੱਡਿਆ
bai,ਚਿੱਟਾ
kaamwali,ਨੌਕਰਾਣੀ
late today,ਅੱਜ ਦੇਰ ਨਾਲ
theft,ਚੋਰੀ
robbery,ਲੁੱਟ
heist,heist
building,ਇਮਾਰਤ
society,ਸਮਾਜ
crime scene,ਅਪਰਾਧ ਦੀ ਜਗਾਹ
appartment,ਅਪਾਰਟਮੈਂਟ
work excuse,ਕੰਮ ਦੇ ਬਹਾਨੇ
employer,ਮਾਲਕ
car broke down,ਕਾਰ ਟੁੱਟ ਗਈ
kharab,ਮਾੜਾ
gaadi band,ਕਾਰ ਬੰਦ
raining,ਮੀਂਹ ਪੈ ਰਿਹਾ ਹੈ
monsoon,ਮਾਨਸੂਨ
location,ਟਿਕਾਣਾ
city,ਸ਼ਹਿਰ
water clogging,ਪਾਣੀ ਭਰਨਾ
paani,ਪਾਣੀ
coca cola,ਕੋਕ
thanda,ਠੰਡਾ
coke,ਕੋਕ
yo,ਮੈਨੂੰ
beverage,ਪੇਅ
taste the feeling,ਭਾਵਨਾ ਦਾ ਸਵਾਦ ਲਓ
taste,ਸੁਆਦ
bottle,ਬੋਤਲ
cola,ਕੋਲਾ
coca,ਕੋਕਾ
coke bottle,ਕੋਕ ਦੀ ਬੋਤਲ
jersey,ਜਰਸੀ
soft drink,ਠੰਡਾ
1,1
coca cola,ਕੋਕ
meet,ਮਿਲਣਾ
walking,ਤੁਰਨਾ
foodies,ਭੋਜਨ
khushiyaan,ਵਿਸ਼ੇਸ਼ਤਾ
feeling,ਭਾਵਨਾ
meeting,ਮੁਲਾਕਾਤ
towel,ਤੌਲੀਆ
bathroom,ਬਾਥਰੂਮ
shower,ਸ਼ਾਵਰ
girl in washroom,ਵਾਸ਼ਰੂਮ ਵਿਚ ਕੁੜੀ
washroom,ਵਾਸ਼ਰੂਮ
toilet,ਟਾਇਲਟ
girl in towel,ਤੌਲੀਏ ਵਿਚ ਕੁੜੀ
no wash,ਕੋਈ ਧੋਤਾ ਨਹੀਂ
clean,ਸਾਫ
fresh,ਤਾਜ਼ਾ
freshen,ਤਾਜ਼ਾ
company,ਕੰਪਨੀ
dirty pack,ਗੰਦਾ ਪੈਕ
pack,ਪੈਕ
dirty,ਗੰਦਾ
cold,ਠੰਡਾ
girl in bathrobe,ਨਹਾਉਣ ਵਾਲੀ ਕੁੜੀ
bathing,ਨਹਾਉਣਾ
bathe,ਨਹਾਓ
industry,ਉਦਯੋਗ
clean up,ਸਾਫ਼ ਕਰੋ
unhygienic,ਬਿਹਤਰ
hygiene,ਸਫਾਈ
sanitary,ਸੈਨੇਟਰੀ
fever,ਬੁਖਾਰ
ganda,ਡਬਲ
deodorant,ਡੀਓਡੋਰੈਂਟ
in,ਵਿੱਚ
kal,ਕੱਲ
nahaya,ਨਹਾਇਆ
ath,ਐਥ
athing,ਕੁਝ
wash wash up,ਧੋਵੋ ਧੋਵੋ
alibi,ਅਲੀਬੀ
excuse,ਬਹਾਨਾ
nightsuit,ਰਾਤ
underwear,ਕੱਛਾ
kacche,ਰਾ
dhule,ਧੂਲੇ
washing,ਧੋਣਾ
dry,ਸੁੱਕੇ
dirty clothes,ਗੰਦੇ ਕਪੜੇ
arriving late,ਦੇਰ ਨਾਲ ਪਹੁੰਚਣਾ
ironing,ਆਇਰਨਿੰਗ
iron,ਲੋਹਾ
pants,ਪੈਂਟ
trousers,ਪੈੰਟ
naked,ਨੰਗਾ
tie,ਟਾਈ
no bath,ਕੋਈ ਇਸ਼ਨਾਨ ਨਹੀਂ
warm,ਗਰਮ
restroom,ਟਾਇਲਟ
woman in towel,ਤੌਲੀਏ ਵਿਚ womanਰਤ
pink,ਗੁਲਾਬੀ
lady,.ਰਤ
hot water bath,ਗਰਮ ਪਾਣੀ ਦਾ ਇਸ਼ਨਾਨ
no shower,ਕੋਈ ਸ਼ਾਵਰ ਨਹੀਂ
holi,ਹੋਲੀ
wash up,ਧੋਵੋ
pichkaari,ਐਟੋਮਾਈਜ਼ਰ
gross,ਕੁੱਲ
abey,abey
blue,ਨੀਲਾ
naha,ਚਮੜੀ
winter,ਸਰਦੀ
oye,ਓਏ
come,ਆਉਣਾ
thand,ਠੰਡਾ
Daisy Duck,ਡੇਜ਼ੀ ਡਕ
darling,ਪਿਆਰੇ
good,ਚੰਗਾ
luck,ਕਿਸਮਤ
good luck,ਖੁਸ਼ਕਿਸਮਤੀ
memories,ਯਾਦਾਂ
bae,ਬਾਏ
girl friend,ਕੁੜੀ ਦੋਸਤ
school days,ਸਕੂਲ ਦੇ ਦਿਨ
eighties,ਅੱਸੀ
baby,ਬੇਬੀ
lovable,ਪਿਆਰੇ
girl friends,ਕੁੜੀ ਦੋਸਤ
post,ਪੋਸਟ
posted,ਤਾਇਨਾਤ
first,ਪਹਿਲਾਂ
before,ਅੱਗੇ
update,ਅਪਡੇਟ
social media,ਸੋਸ਼ਲ ਮੀਡੀਆ
donald duck,ਡੋਨਲਡ ਡਕ
donald,donald
child,ਬੱਚਾ
hilarious,ਪ੍ਰਸੰਨ
insane,ਪਾਗਲ
cuteness,cuteness
mental,ਮਾਨਸਿਕ
mentally,ਮਾਨਸਿਕ ਤੌਰ ਤੇ
oh,ਓਹ
boy oh boy,ਮੁੰਡਾ ਓਹ ਮੁੰਡਾ
mickey,ਮਿਕੀ
mickey mouse,ਮਿਕੀ ਮਾ mouseਸ
response,ਜਵਾਬ
shocked,ਹੈਰਾਨ
some,ਕੁੱਝ
music,ਸੰਗੀਤ
songs,ਗਾਣੇ
song,ਗਾਣਾ
minnie,ਮਿੰਨੀ
mini,ਮਿੰਨੀ
minni,ਮੇਰੇ
minnie mouse,ਮਿੰਨੀ ਮਾ mouseਸ
melody,ਰਾਗ
need,ਲੋੜ ਹੈ
all,ਸਭ
romance,ਰੋਮਾਂਸ
romanctic,ਰੋਮਾਂਟਿਕ
conversations,ਗੱਲਬਾਤ
talks,ਗੱਲਬਾਤ
lover,ਪ੍ਰੇਮੀ
guitar,ਗਿਟਾਰ
instrument,ਸਾਧਨ
forbidden,ਵਰਜਿਤ
romantic,ਰੋਮਾਂਟਿਕ
heart ache,ਦਿਲ ਦਾ ਦਰਦ
dill,Dill
how,ਕਿਵੇਂ
cteness,cteness
starts,ਸ਼ੁਰੂ ਹੁੰਦਾ ਹੈ
beginning,ਸ਼ੁਰੂਆਤ
conversation,ਗੱਲਬਾਤ
for,ਲਈ
group,ਸਮੂਹ
happy birthday,ਜਨਮਦਿਨ ਮੁਬਾਰਕ
to me,ਦੇ ਨਾਲ
my birthdy,ਮੇਰਾ ਜਨਮਦਿਨ
my,ਮੇਰਾ
hello,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
starters,ਸ਼ੁਰੂਆਤ
begin,ਸ਼ੁਰੂ
mouseketeers,ਮਾ mouseਸਕਟੀਅਰ
magic,ਜਾਦੂ
jaafu,ਚੁਗਲੀ
jadu,ਜਾਦੂ
cloak,ਚੋਗਾ
me,ਮੈਨੂੰ
praise,ਪ੍ਰਸੰਸਾ
in love,ਪਿਆਰ ਵਿੱਚ
ishq,ishq
flirt,ਫਲਰਟ
flirtatious,ਫਲਰਟ
filmy,ਫਿਲਮ
bollywood,ਬਾਲੀਵੁੱਡ
cinema,ਸਿਨੇਮਾ
hindi,ਹਿੰਦੀ
relationships,ਰਿਸ਼ਤੇ
pyar,ਪਿਆਰ
dl,dl
zindagi,ਜ਼ਿੰਦਾਗੀ
hai,ਹੈ
dialogue,ਸੰਵਾਦ
dialog,ਸੰਵਾਦ
mohabbat,ਮੁਹੱਬਤ
lovesick,ਪਿਆਰਾ
chance,ਮੌਕਾ
stake,ਦਾਅ
risk,ਜੋਖਮ
kuch,ਕੁਝ
by,ਨਾਲ
mera,ਮੇਰਾ
limit,ਸੀਮਾ
main,ਮੁੱਖ
hearts,ਦਿਲ
rule,ਨਿਯਮ
pyaar ke rules,ਪਿਆਰ ਦੇ ਨਿਯਮ
friendzone,ਦੋਸਤ ਨੂੰ ਜ਼ੋਨ
friendzoned,ਮਿੱਤਰਤਾਪੂਰਣ
diwana,ਪਾਗਲ
mad,ਪਾਗਲ
ole,ਨਾ
bole,ਕਹਿੰਦਾ ਹੈ
saif,ਸੈਫ
saif ali khan,ਸੈਫ ਅਲੀ ਖਾਨ
tera,ਤੇਰਾ
jab bhi,ਜਦ ਵੀ
see,ਦੇਖੋ
dekhu,ਦੇਖੋ
ladka,ਮੁੰਡਾ
bike,ਸਾਈਕਲ
hitting,ਮਾਰਨਾ
hitting on,'ਤੇ ਮਾਰਨਾ
aur,ਸੋਨੇ
dono,ਕਿਹੜਾ
thai ishqiya,ਥਾਈ ਇਸ਼ਕੀਆ
baccha,ਬੇਬੀ
hai jee,ਹੈ
empty,ਖਾਲੀ
pockets,ਜੇਬ
paisa,ਪੈਸੇ
cashless,ਨਕਦ ਰਹਿਤ
staff,ਸਟਾਫ
later,ਬਾਅਦ ਵਿਚ
diwali,ਦੀਵਾਲੀ
professional,ਪੇਸ਼ੇਵਰ
prediwali,prediwali
diwali party,ਦੀਵਾਲੀ ਪਾਰਟੀ
card party,ਕਾਰਡ ਪਾਰਟੀ
ethnic wear,ਨਸਲੀ ਪਹਿਰਾਵੇ
traditional wear,ਰਵਾਇਤੀ ਪਹਿਰਾਵੇ
traditional,ਰਵਾਇਤੀ
festive,ਤਿਉਹਾਰ
festive wear,ਤਿਉਹਾਰ ਪਹਿਨਣ
daru,ਇੱਕ ਤੋਹਫਾ
sharab,ਵਾਈਨ
alocohol,ਸ਼ਰਾਬ
kurta pyjama,ਕੁੜਤਾ ਪਜਾਮਾ
where,ਕਿੱਥੇ
cardparty,ਕਾਰਡਪਾਰਟੀ
say,ਕਹੋ
to,ਨੂੰ
crackers,ਪਟਾਕੇ
slogan,ਨਾਅਰਾ
deepawali,ਦੀਪਵਾਲੀ
dipawali,ਦੀਪਵਾਲੀ
cards,ਕਾਰਡ
couple,ਜੋੜਾ
rangoli,ਰੰਗੋਲੀ
stay,ਰੁਕੋ
away,ਦੂਰ
diya,ਦਿੱਤਾ ਗਿਆ
lamps,ਦੀਵੇ
diwlai celebration,ਦੀਵਾਲੀ ਦਾ ਤਿਉਹਾਰ
maa,ਜ਼ਮੀਨ
mata,ਅੱਖ
housewide,ਘਰੇ
safai,ਸਫਾਈ
ghar,ਘਰ
house,ਘਰ
house cleaning,ਘਰ ਦੀ ਸਫਾਈ
diwali cleaning,ਦੀਵਾਲੀ ਦੀ ਸਫਾਈ
karega,ਕਰੇਗਾ
ki,ਦੇ
daughter,ਧੀ
sahab,ਸਰ
housekeeper,ਘਰ ਦਾ ਕੰਮ ਕਰਨ ਵਾਲਾ
cleaner,ਕਲੀਨਰ
diwlai,ਕ੍ਰਿਪਾ ਕਰਕੇ
bonus,ਬੋਨਸ
diwali bonus,ਦੀਵਾਲੀ ਬੋਨਸ
bucket,ਬਾਲਟੀ
cleaning,ਸਫਾਈ
broom,ਝਾੜੂ
jhaduu,ਝਡੂ
diwali shopping,ਦੀਵਾਲੀ ਦੀ ਖਰੀਦਦਾਰੀ
with,ਦੇ ਨਾਲ
be like,ਵਰਗੇ ਬਣੋ
bags,ਬੈਗ
shopping bags,ਸ਼ਾਪਿੰਗ ਬੈਗ
missing,ਗੁੰਮ
miss,ਮਿਸ
miss you,ਤੁਹਾਡੀ ਯਾਦ ਆਉਂਦੀ ਹੈ
yaad,ਯਾਦ ਰੱਖੋ
ghar ki yaad,ਘਰ ਯਾਦ ਹੈ
nostalgia,ਪੁਰਾਣੀ
nostalgic,ਨਾਜ਼ੁਕ
baksheesh,ਬਖਸ਼ੀਸ਼
paise,ਪੈਸਾ
superstar,ਸੁਪਰਸਟਾਰ
stage,ਸਟੇਜ
mic,ਮਾਈਕ
singer,ਗਾਇਕ
melodies,ਧੁਨ
perform,ਪ੍ਰਦਰਸ਼ਨ
gig,gig
star,ਤਾਰਾ
band,ਜਥਾ
rockband,ਰਾਕ ਬੈਂਡ
musician,ਸੰਗੀਤਕਾਰ
spotlight,ਸਪਾਟਲਾਈਟ
goodwork,ਵਧੀਅਾ ਕੰਮ
well,ਖੈਰ
done,ਕੀਤਾ
welldone,ਖੈਰ
good job,ਅੱਛਾ ਕੰਮ
acha,ਸੋਚੋ
sun,ਸੂਰਜ
surf,ਸਰਫ
surfboard,ਸਰਫਬੋਰਡ
surfing,ਸਰਫਿੰਗ
shining,ਚਮਕਦਾ
waves,ਲਹਿਰਾਂ
swiming,ਤੈਰਾਕੀ
swimwear,ਤੈਰਾਕੀ
swimsuit,ਤੈਰਾਕੀ ਸੂਟ
goa,ਗੋਆ
beaches,ਸਮੁੰਦਰੀ ਕੰ .ੇ
usic,ਆਮ
performance,ਪ੍ਰਦਰਸ਼ਨ
acha kaam,ਚੰਗਾ ਕੰਮ
ha,ਹੈ
hell,ਨਰਕ
burn,ਸਾੜ
burning,ਜਲਣ
laughing,ਹੱਸਣਾ
interaction,ਗੱਲਬਾਤ ਕਰਨੀ
talk,ਗੱਲ ਕਰੋ
old,ਪੁਰਾਣਾ
days,ਦਿਨ
memory,ਯਾਦਦਾਸ਼ਤ
college,ਕਾਲਜ
cowboy,ਕਾਉਬਯ
cowboy hat,ਕਾ cowਬੌਏ ਟੋਪੀ
cowboy boots,ਕਾਉਬੁਏ ਬੂਟ
boots,ਬੂਟ
dessert,ਮਿਠਆਈ
hat,ਟੋਪੀ
fighting,ਲੜਾਈ
goodnight,ਗੁਡ ਨਾਈਟ
night,ਰਾਤ
dreams,ਸੁਪਨੇ
sweetdreams,ਮਿੱਠੇ ਸਪਨੇ
moon,ਚੰਦ
dark,ਹਨੇਰ
stars,ਤਾਰੇ
the moon,ਚੰਦਰਮਾ
clouds,ਬੱਦਲ
sky,ਅਸਮਾਨ
end,ਅੰਤ
scare,ਡਰਾਉਣਾ
scray,ਡਰਾਉਣਾ
boo,ਬੂ
ghost,ਭੂਤ
land,ਜ਼ਮੀਨ
scarecrow,ਡਰਾਉਣਾ
shock,ਸਦਮਾ
surprise,ਹੈਰਾਨੀ
zombie,ਜੂਮਬੀਨ
hahaha,ਹਾਹਾਹਾ
laughter,ਹਾਸੇ
wicked laugh,ਦੁਸ਼ਟ ਹਾਸਾ
scary,ਡਰਾਉਣਾ
tight,ਤੰਗ
honey,ਪਿਆਰਾ
grilfriend,ਸਹੇਲੀ
college days,ਕਾਲਜ ਦੇ ਦਿਨ
older,ਪੁਰਾਣੇ
young,ਜਵਾਨ
younger,ਛੋਟਾ
retro,retro
yearn,ਤਾਂਘ
booo,ਬੂਓ
witch,ਡੈਣ
flying,ਉਡਾਣ
ghosts,ਭੂਤ
spooky,ਡਰਾਉਣਾ
chudail,ਡੈਣ
shinning,ਚਮਕਦਾਰ
bright,ਚਮਕਦਾਰ
frieds,ਤਲੇ
really,ਸਚਮੁਚ
chat,ਗੱਲਬਾਤ
friendships,ਦੋਸਤੀ
stunned,ਹੈਰਾਨ
hmmm,hmmm
hmm,ਹੰ
pondering,ਵਿਚਾਰ
contemplating,ਵਿਚਾਰ
think,ਸੋਚੋ
thoughtful,ਵਿਚਾਰਵਾਨ
thoughts,ਵਿਚਾਰ
hahah,ਹਾਹਾਹਾ
bahaha,ਬਾਹਾਹਾ
joking,ਮਜ਼ਾਕ
hansna,ਹੱਸਣ ਲਈ
thanks,ਧੰਨਵਾਦ
thank you,ਤੁਹਾਡਾ ਧੰਨਵਾਦ
thank,ਧੰਨਵਾਦ
help,ਮਦਦ ਕਰੋ
welcome,ਸਵਾਗਤ ਹੈ
thanking,ਧੰਨਵਾਦ
get,ਪ੍ਰਾਪਤ ਕਰੋ
get out,ਦਫ਼ਾ ਹੋ ਜਾਓ
chakra,ਚੱਕਰ
go,ਜਾਣਾ
fuck off,ਬੰਦ ਨੂੰ ਬੰਦ
superhero,ਸੁਪਰਹੀਰੋ
whatsup,ਕੀ ਹੋ ਰਿਹਾ ਹੈ
ssup,ssup
whaddup,ਵਡੱਪ
whatup,ਕੀ ਹੈ
watsup,ਵਟਸਐਪ
happing,ਖੁਸ਼
opening,ਖੋਲ੍ਹਣਾ
coversation,ਗੱਲਬਾਤ
start,ਸ਼ੁਰੂ ਕਰੋ
converse,ਗੱਲਬਾਤ
free,ਮੁਫਤ
freebird,ਫ੍ਰੀਬਰਡ
freedom,ਆਜ਼ਾਦੀ
break,ਬਰੇਕ
jatt,ਜੱਟ
fly,ਉੱਡ
air,ਹਵਾ
super,ਸੁਪਰ
stoned,ਪੱਥਰ ਮਾਰਿਆ ਗਿਆ
starter,ਸਟਾਰਟਰ
solar,ਸੂਰਜੀ
activate,ਸਰਗਰਮ
functionality,ਕਾਰਜਕੁਸ਼ਲਤਾ
character,ਅੱਖਰ
powerful,ਸ਼ਕਤੀਸ਼ਾਲੀ
stronger,ਮਜ਼ਬੂਤ
like,ਪਸੰਦ ਹੈ
lve,lve
flirting,ਫਲਰਟ ਕਰਨਾ
flatter,ਚਾਪਲੂਸੀ
u,ਵਿੱਚ
affair,ਮਾਮਲੇ
caught,ਫੜਿਆ
ya,ਦੇ
caught you,ਤੁਹਾਨੂੰ ਫੜ ਲਿਆ
pakad,ਪਕੜੋ
liye,ਲਈ
he,ਉਹ
everyday,ਨਿੱਤ
howdy,ਕਿਵੇਂ
namaste,ਹੈਲੋ
group chat,ਸਮੂਹ ਗੱਲਬਾਤ
feel,ਮਹਿਸੂਸ ਕਰੋ
strength,ਤਾਕਤ
attack,ਹਮਲਾ
protector,ਰਖਵਾਲਾ
bored,ਬੋਰ
m,ਮੀ
boring,ਬੋਰਿੰਗ
plans,ਯੋਜਨਾਵਾਂ
run,ਰਨ
running,ਚੱਲ ਰਿਹਾ ਹੈ
zap,ਜ਼ੈਪ
zoom,ਜ਼ੂਮ
storm out,ਤੂਫਾਨ ਬਾਹਰ
exit,ਨਿਕਾਸ
go away,ਚਲੇ ਜਾਓ
dissappear,ਅਲੋਪ ਹੋ ਜਾਓ
leave,ਛੱਡੋ
have,ਹੈ
a,ਏ
plan,ਯੋਜਨਾ
planning,ਯੋਜਨਾਬੰਦੀ
idea,ਵਿਚਾਰ
trick,ਚਾਲ
plan of action,ਕਾਰਵਾਈ ਦੀ ਯੋਜਨਾ
tvf pitchers,tvf ਘੜਾ
pitchers,ਘੜੇ
beer,Oti sekengberi
tvf,tvf
viral,ਵਾਇਰਲ
peeney,ਪੀ
peena,ਪੀਣ ਲਈ
bhati,ਭਾਟੀ
navin,ਨੈਵਿਨ
navin bansal,ਨਵੀਨ ਬਾਂਸਲ
glass,ਗਲਾਸ
hun,ਆਪਣੇ
bansal,ਬਾਂਸਲ
botal,ਬੋਤਲ
nikla,ਨਿਕਲ
bahunga,ਕਰੇਗਾ
hoon,ਹੂਨ
behna,behna
behunga,ਉਹ ਸਲਾਹ ਮਸ਼ਵਰਾ ਕਰ ਰਹੇ ਸਨ
bahar,ਬਸੰਤ ਰੁੱਤ
invest,ਨਿਵੇਸ਼
investor,ਨਿਵੇਸ਼ਕ
funding,ਫੰਡਿੰਗ
drunk night,ਸ਼ਰਾਬੀ ਰਾਤ
height,ਉਚਾਈ
sexism,ਲਿੰਗਵਾਦ
of,ਦੇ
gunda,ਗੁੰਡਾ
entrepreneur,ਉਦਮੀ
startup,ਸ਼ੁਰੂ ਕਰਣਾ
invester,ਇਨਵੈਸਟਰ
presentation,ਪੇਸ਼ਕਾਰੀ
ladki,ਕੁੜੀ
tum,ਤੁਮ
kyu,ਕਿਯੂ
why,ਕਿਉਂ
boygang,boygang
boys,ਮੁੰਡੇ
let,ਦਿਉ
going,ਜਾ ਰਿਹਾ
leaving,ਛੱਡਣਾ
privacy,ਪਰਦੇਦਾਰੀ
mail,ਮੇਲ
myth,ਮਿੱਥ
owners,ਮਾਲਕ
men,ਆਦਮੀ
email,ਈ - ਮੇਲ
letter,ਪੱਤਰ
smartass,ਚੁਸਤ ਬੰਦਾ
smart ass,ਚੁਸਤ ਬੰਦਾ
work culture,ਕੰਮ ਸਭਿਆਚਾਰ
workplace,ਕੰਮ ਵਾਲੀ ਥਾਂ
pechkas,ਸਟੋਵ
app,ਐਪ
khoj,ਖੋਜ
discover,ਖੋਜ
idiotic,ਮੂਰਖ
old man,ਬੁਜ਼ੁਰਗ ਆਦਮੀ
tease,ਤੰਗ ਕਰਨਾ
never,ਕਦੇ ਨਹੀਂ
quit,ਛੱਡੋ
back down,ਵਾਪਸ ਥੱਲੇ
failure,ਅਸਫਲਤਾ
motivation,ਪ੍ਰੇਰਣਾ
motivator,ਪ੍ਰੇਰਕ
chutiya,ਚੂੰਡੀ
fucker,ਕਮੀਨਾ
wearing,ਪਹਿਨਣਾ
serious,ਗੰਭੀਰ
specs,ਚਸ਼ਮੇ
papa,ਪਾਪਾ
fail,ਫੇਲ
