colva,കോൾവ
om swami ji,ഓം സ്വാമി
sweetsweet,മധുരപലഹാരം
mujhesabsweetkehtehai,ഞാൻ എല്ലാവരേയും സ്നേഹിക്കുന്നു
monalisa,monalisa
jitna,അത്രയും
jit,ജിത്
desperate,നിരാശ
jitnekliyekuchhbhi,അത്രയും
kuchbhi,എന്തും
kuchbhikarsaktihu,സംതിംഗ്സ്
priyankajagga,പ്രിയങ്കഗാഗ
jagga,ജഗ്ഗ
overact,അമിതമായി
overactingkidukaan,overactingkidukaan
dukaan,കട
nitibhakaul,എത്തിക്സ്
gotit,ഗൊത്തി
lopamudra,ലൊപമുദ്ര
fyn,ഫ്യ്ന്
nevermind,കാര്യമാക്കേണ്ടതില്ല
chille,മുളക്
bani j,j വലിക്കുന്നു
gurbani judge,ഗുർബാനി ജഡ്ജി
vjbani,vjbani
thisyear,ഈവർഷം
SantaClause,സാന്താ ക്ലോസ്
Christmastree,ക്രിസ്മസ്ത്രി
sledy,കാൽപ്പാടുകൾ
clause,ഉപവാക്യം
jinglebells,ജിംഗിൾബെൽസ്
holly,ഹോളി
happyholidays,ഹാപ്പിഹോളിഡേസ്
sorahahu,sorahahu
notinterested,താൽപ്പര്യമില്ല
dunno,dunno
dontknow,അറിയില്ല
bahutkam,വളരെ കുറച്ച് പേർ
lotofwork,ലോട്ടോ വർക്ക്
batterydead,ബാറ്ററിഡീഡ്
notpossible,സാധ്യമല്ല
nahihopayega,പണം നൽകില്ല
halatkharab,കലപ്പ
whichone,അതിൽ ഏത്
Bulbasaur,ബൾബാസോർ
Squirtle,അണ്ണാൻ
Charmander,ചാർമാണ്ടർ
wewill,ഞങ്ങൾ ചെയ്യും
saveallpokemons,saveallpokemons
savepokemons,savepokemons
teamrocket,ടീംറോക്കറ്റ്
pikachu,പിക്കാച്ചു
Pokemon,പോക്ക്മാൻ
Pokemonlove,പോക്ക്മാൻലോവ്
Pokemons,പോക്ക്മാൻ
KingofPokeworld,കിംഗോഫ് പോക്ക് വേൾഡ്
Pokeworld,പോക്ക് വേൾഡ്
youcannotesacpe,youcannotesacpe
Ichooseyou,ഞാൻ നിങ്ങളെ തിരഞ്ഞെടുത്തു
Pokeball,പോക്ക്ബോൾ
IchooseyouPikachu,ഇച്ചൂസ ou പികാച്ചു
catchemall,catchemall
catchthemall,catchthemall
bestofluck,നല്ലതു സംഭവിക്കട്ടെ
allthebestbuddy,allthebestbuddy
Ihaveballs,ഇഹാവെബോൾസ്
doyou,നീ
everywhere,എല്ലായിടത്തും
Slowpoke,സ്ലോപോക്ക്
dontbeaaslowpoke,dontbeaaslowpoke
dontbeslow,dontbeslow
getpokemon,getpokemon
somepokemon,somepokemon
Pokemontrainer,പോക്ക്മാൻ പരിശീലകൻ
besttrainer,ബെസ്റ്റ് ട്രെയിനർ
Mew,മ്യൂ
chooseyou,തിരഞ്ഞെടുക്കുക
chu's,ചു
Ialwayschooseyou,ഞാൻ എല്ലായ്പ്പോഴും നിങ്ങളെ തിരഞ്ഞെടുക്കുന്നു
iwillfind,ഞാൻ കണ്ടെത്തും
iwillcatch,iwillcatch
findyou,കണ്ടെത്തുക
catchyou,catchyou
Pokebattle,പോക്കറ്റ്
battle,യുദ്ധം
getready,തയ്യാറാകൂ
gottacatchemall,gottacatchemall
donttry,ശ്രമിക്കരുത്
neverchange,മാറ്റരുത്
differentthings,വ്യത്യസ്ത കാര്യങ്ങൾ
flyingbroom,ഫ്ലൈയിംഗ് ബ്രൂം
iamsorry,എന്നോട് ക്ഷമിക്കൂ
iamafraid,വിരോധാഭാസം
youareretarded,നിങ്ങൾ മാനസിക വളർച്ച ഇല്ലാത്ത ആളാണ്
retarded,റിട്ടേർഡ്
dontuse,dontuse
use,ഉപയോഗം
reallyneedit,ശരിക്കും ആവശ്യമുണ്ട്
i'msorry,എന്നോട് ക്ഷമിക്കൂ
donotwanttolive,donotwanttolive
takethingseasy,takethingseasy
iwillmakeyouhappy,ഞാൻ താങ്കളെ സന്തോഷവാനാക്കും
foreverandever,എന്നെന്നേക്കും
knowledge,അറിവ്
importance,പ്രാധാന്യം
scoreisnotasimportant,scoreisnotasimportant
knowledgeisimportant,അറിവ് പ്രധാനം
dontcry,dontcry
thosethings,ആ കാര്യങ്ങൾ
hojaye,ചേരുക
workput,വർക്കൗട്ട്
iloveypu,ഞാൻ നിന്നെ സ്നേഹിക്കുന്നു
iloveyubaby,iloveyubaby
tryout,ശ്രമിച്ചുനോക്കൂ
letstalk,സംസാരിക്കാം
aboutme,അബൊഉത്മെ
narcissist,നാർസിസിസ്റ്റ്
selfobsessed,സ്വയം ഭ്രാന്തൻ
16kadola,16 കഡോള
bicep,bicep
kaisiho,കൈസിഹൊ
kaisihobaby,കാസിയോബാബി
kahanchali,കഹൻചാലി
hottie,ഹോട്ടീ
whereareyougoing,നിങ്ങൾ എവിടെ പോകുന്നു
candlelight,മെഴുകുതിരി വെളിച്ചം
candlelightdinner,മെഴുക് തിരി വെളിച്ചത്തിൽ അത്താഴം
tuxedo,ടക്സീഡോ
ridepe,രിദെപെ
ridepechalega,സവാരി
gottenaway,രക്ഷപ്പെട്ടു
gottenawaywithit,gotnawaywithit
myglasses,മൈഗ്ലാസുകൾ
eherearemyglasses,eherearemyglasses
Velma,വെൽമ
zoinks,സോയിങ്കുകൾ
Shaggy,ഷാഗി
whereareyou,നീ എവിടെ ആണ്
whatwedobest,whatwedobest
sammich,sammich
sandwich,സാന്ഡ്വിച്ച്
rockthem,റോക്ക്‌തെം
sockthem,sockthem
scoobyandscrappy,സ്കൂബിയാൻഡ്‌സ്‌ക്രാപ്പി
scooby,സ്കൂബി
scrappy,സ്ക്രാപ്പി
Scooby-Doo,സ്കൂബി ഡൂ
ScoobyDooDoo,സ്ചൊഒബ്യ്ദൊഒദൊഒ
Fred,ഫ്രെഡ്
splitup,സ്പ്ലിതുപ്
splitupthegang,സ്പ്ലിതുപ്ഥെഗന്ഗ്
mystery,മർമ്മം
solve,പരിഹരിക്കുക
let'ssolvethismystery,നമുക്ക് സോൾവിസം പരിഹരിക്കാം
let'ssolve,നമുക്ക് പരിഹരിക്കാം
scoobysnack,സ്ചൊഒബ്യ് ലഘുഭക്ഷണം
whatwillyoudo,നിങ്ങൾ എന്തുചെയ്യും
Daphne,ഡാഫ്‌നെ
badass,badass
Raphael,റാഫേൽ
whattheshell,വാട്ട്ഷെൽ
eth,eth
whatthehell,എന്തൊരു നരകമാണ്
turlepower,ടർലിപവർ
combat,പോരാട്ടം
Leonardo,ലിയോനാർഡോ
trustyourinstincts,നിങ്ങളുടെ സഹജവാസനകളെ വിശ്വസിക്കുക
instinct,സഹജാവബോധം
insctincts,സഹജാവബോധം
gutfeeling,കുടൽ വികാരം
Solinter,സോളിന്റർ
ninja,നിൻജ
ninjatime,ninjatime
Gnarly,ഗ്നാർലി
cowabunga,cowabunga
Michelangelo,മൈക്കലാഞ്ചലോ
leadtheway,ലീഡ്‌വേ
toots,ടൂട്ട്സ്
illdoitmyself,illdoitmyself
doitmyself,സ്വയം ചെയ്യുക
victoryshallbemine,വിക്‍ഷാൽ‌ബെമിൻ
Stewie,സ്റ്റീവി
giggity,ജിഗ്ഗിറ്റി
giggitygiggitygiggity,ജിഗ്ഗിറ്റി ഗിഗ്ഗിറ്റി ജിഗ്ഗിറ്റി
Glenn,ഗ്ലെൻ
GlennQuagmire,ഗ്ലെൻ ക്വാഗ്മയർ
headexploding,ഹെഡെക്സ്പ്ലോഡിംഗ്
marvelousidea,അത്ഭുതകരമായ
PeterGriffin,പീറ്റർഗ്രിഫിൻ
Peter,പീറ്റർ
mylifeisruined,mylifeisruined
Meg,ഒപ്പം
MegGriffin,മെഗ് ഗ്രിഫിൻ
heusedme,heusedme
comedyu,കോമഡി
comic,കോമിക്ക്
fussy,കുഴപ്പമില്ല
fuss,കലഹിക്കുക
stopfussing,stopfussing
Lois,ലോയിസ്
LoisGriffin,ലോയിസ് ഗ്രിഫിൻ
STFU,STFU
evilmonkey,ദുഷ്ടമങ്കി
TheEvilMonkey,തിവില്മൊന്കെയ്
nasty,വൃത്തികെട്ട
thatisnasty,അത്
that'snasty,അത് മോശമായി
Cleveland,ക്ലീവ്‌ലാന്റ്
ClevelandBrown,ക്ലീവ്‌ലാന്റ് ബ്രൗൺ
didit,didit
blame,കുറ്റപ്പെടുത്തുക
Chris,ക്രിസ്
ChrisGriffin,ക്രിസ് ഗ്രിഫിൻ
forgiveyou,മാപ്പ് തരുന്നു
iwontforgiveypu,wontforgiveypu
theone,തിയോൺ
youaretheone,youaretheone
keeinmind,മനസ്സില്ല
dropdead,ഡ്രോപ്പ്ഡീഡ്
thanksabunch,നന്ദി
whatdoyouthink,നീ എന്ത് ചിന്തിക്കുന്നു
aneyeforaneye,aneefeoranee
revenge,പ്രതികാരം
avenge,പ്രതികാരം
fashionsaviour,fashionsaviour
savetheworld,ലോകത്തെ രക്ഷിക്കാനുള്ള
boringfashion,ബോറിംഗ് ഫാഷൻ
leavemealone,എന്നെ ഒറ്റക്കിരിക്കാൻ അനുവദിക്കൂ
leaveme,എന്നെ വിടൂ
foreal?,foreal?
real,യഥാർത്ഥ
reality,യാഥാർത്ഥ്യം
truth,സത്യം
chillkaisemaru,ചിക്ക ഇസെമാരു
uff,ഛെ
itnigarmi,itnigarmi
coolcool,കൂൾകൂൾ
thandathanda,തണുത്ത തണുപ്പ്
dillikigarmi,ദില്ലിയുടെ ചൂട്
delhikigarmi,ദില്ലി
pyaartera,പ്യാർട്ടേര
noAC,noAC
nodate,ഫീൽഡ് പോയിന്റ്
AC,എ.സി.
airconditioner,എയർകണ്ടീഷണർ
ACkikasam,എ.സി.കികസം
swaeonmyAC,swaeonmyAC
tan,ടാൻ
tanning,ടാനിംഗ്
antitan,ആന്റിറ്റൻ
chhatri,വിദ്യാർത്ഥി
nahichahiye,ഉറങ്ങരുത്
hotseat,ഹോട്ട്‌സീറ്റ്
chubti,ചുബ്തി
jalti,കത്തുന്ന
prickly,മുള്ളൻ
sweat4,വിയർപ്പ് 4
kutti,തന്നുള്ളൂ
kuttigarmi,സ്കർവി
]hot,]ചൂടുള്ള
heated,ചൂടാക്കി
dog\,നായ \
fuckyourself,സ്വയം
gofuckyourself,gofuckyourself
wolverine,വോൾവറിൻ
storm,കൊടുങ്കാറ്റ്
stormcoming,കൊടുങ്കാറ്റ്
approachingstorm,ആസന്നമായ കൊടുങ്കാറ്റ്
approach,സമീപനം
poof,പൂഫ്
iamgone,ഇഅമ്ഗൊനെ
kittypryde,കിത്ത്യ്പ്ര്യ്ദെ
imhere,imhere
iamheretohelp,ഇഅമ്ഹെരെതൊഹെല്പ്
ProfessorX,പ്രൊഫസർ എക്സ്
freak,പുള്ളി
circus,സർക്കസ്
notacircusfreak,notacircusfreak
circusfreak,സർക്കസ്ഫ്രീക്ക്
Mystique,മിസ്റ്റിക്
dontbelieve,വിശ്വസിക്കരുത്
sight,കാഴ്ച
everythingyousee,എല്ലാം
toomuch,വളരെയധികം
toomuchiron,വിപ്പ് തിയറി
Magneto,മാഗ്നെറ്റോ
cardtricks,കാർഡ്ട്രിക്സ്
iheard,കേൾക്കുന്നു
hear,കേൾക്കൂ
heard,കേട്ടു
openmyeyes,openmyeyes
eyes,കണ്ണുകൾ
dontmakeme,dontmakeme
cyclops,സൈക്ലോപ്പുകൾ
tricks,തന്ത്രങ്ങൾ
anymoretricks,ഇനി ട്രിക്സ്
mastermind,സൂത്രധാരൻ
iamfabulous,ഇഅമ്ഫബുലൊഉസ്
heyeveryone,heyeveryone
witchplease,മന്ത്രവാദി
hulkhungry,ഹൾഖുൻഗ്രി
needahand,needahand
whareyoulookingat,whareyoulookingat
lookingat,നോക്കുന്നു
sharp,മൂർച്ചയുള്ളത്
sharply,കുത്തനെ
dressedsharply,വസ്ത്രം ധരിച്ചു
allsizes,എല്ലാം വലുതാക്കുന്നു
knowledgeispower,അറിവ് ശക്തിയാണ്
hermione,ഹെർമിയോൺ
thechosenone,തെക്കോസെനോൺ
chosen,തിരഞ്ഞെടുത്തു
harry,വേഗം
AlbusDumbledore,ആൽ‌ബസ് ഡം‌ബെൽ‌ഡോർ‌
Dumbledore,ഡംബെൽഡോർ
fatherwillhaeraboutthis,പിതാവ്
aboutthis,ഇതിനെ കുറിച്ച്
dobby,ഡോബി
freeelf,ഫ്രെഎഎല്ഫ്
elf,elf
sock,സോക്ക്
letmekissyou,ലെത്മെകിഷ്യൊഉ
comeout,പുറത്ത് വാ
avada,തുറക്കുക
kedavra,kedavra
avadakedavra,അവദാവദവര
mustnotlie,mustnotlie
youmusttellies,youmusttellies
Weasley,വീസ്‌ലി
Ron,റോൺ
RonWeasley,റോൺവീസ്ലി
ronweasleyisourking,ronweasleyisourking
badiya,നല്ലത്
bahutbadiya,വളരെ നല്ലത്
thumbsdown,തംബ്‌ഡൗൺ
epicfail,epicfail
muhpechamat,മുഹ്പെചാമത്ത്
muhpe,വായ
chamat,തിളക്കം
facepalm,ഫെയ്‌സ് പാം
yohoney,yohoney
susu,പാൽ
littlefinger,ചെറു വിരല്
abhiaya,അഭയ്
callofnature,callofnature
loo,ലൂ
chub,ചബ്
chubbey,ചബ്ബി
shh,shh
shhh,shhh
shantipeace,പീസ്മേക്കർ
peaceout,സമാധാനം
sabchaltahai,തീർച്ചയായും
sabchalta,സുതാര്യത
allok,എല്ലാം ശരി
nahidekha,കണ്ടില്ല
dekha,കണ്ടുമുട്ടുക
aankhenbandh,അങ്കന്ദ്ബന്ധ്
eyesclosed,കണ്ണടച്ചിരിക്കുന്നു
ohhemmgee,ഓഹെമ്മി
kyaomg,ക്യോങ്
wicketpewicket,വിക്കറ്റ്പിവിക്കറ്റ്
orangearmy,ഓറഞ്ചാർമി
army,സൈന്യം
baigan,വഴുതന
miladete,മ്ലാഡെറ്റ്
riseaboveall,ഉയർച്ച
above,മുകളിൽ
riseabove,പൊങ്ങി വരിക
nofikar,നോഫിക്കർ
fikar,കാപ്പി ഉണ്ടോ
worry,വിഷമിക്കുക
noworry,ഇപ്പോൾ ക്ഷമിക്കണം
wehaveShikhar,wehaveShikhar
Shikhar,കൊടുമുടി
nawab,നവാബ്
nawabi,നവാബി
nehra,നെഹ്‌റ
NawabiNehra,നവാബി നെഹ്‌റ
kiraak,പിളര്പ്പ്
kirak,കിർക്ക്
kiraakshot,കിരഹ്സൊത്
panga,ബാങ്ക്
nakkolagao,nakkantenao
panganakkolagao,ഹാംഗ് .ട്ട് ചെയ്യുക
donotchallenge,donotchallenge
Charminaar,ചാർമിനാർ
Charminaarkepatthe,ചാർമിനാർക്കെപത്തേ
patthe,വഴിയിൽ
biryani,ബിരിയാണി
biriyani,ബിരിയാണി
wonthetoss,wonthetoss
optedtowin,optedtowin
kohli,കോഹ്‌ലി
playhard,അധ്വാനിച്ചു കളിക്കു
harder,വിഷമകരം
partyharder,പാർട്ടിഹാർഡർ
playbold,പ്ലേബോൾഡ്
ChrisGayle,ക്രിസ് ഗെയ്ൽ
Pitchbakwastha,പിച്ച്ബക്വാസ്ത
oolalalaleeoo,oolalalaleeoo
LaaLaaLaa,ഞാൻ പോകുന്നു
deVilliers,ഡിവില്ലിയേഴ്സ്
oneteam,oneteam
rulethemall,rulethemall
GoRCB,GoRCB
chasemacha,പാഴായി
Gayle,ഗെയ്ൽ
Gaylestorm,ഗാലസ്ട്രോം
hurricane,ചുഴലിക്കാറ്റ്
herecomes,ഇതാ വരുന്നു
sabseuparRCB,sabseuparRCB
MC,എം.സി.
RCBthebest,RCBthebest
Mr360,മെറാത്ത് 0
360degrees,360 ഡിഗ്രികൾ
ABdeVilliers,ABdeVilliers
Punjabis,പഞ്ചാബികൾ
dontkeepcalm,dontkeepcalm
maxwell,മാക്സ്വെൽ
Yaaraan,ചെറിയ
WriddhimanSaha,വൃദ്ധിമാൻസാഹ
livepunjabi,പഞ്ചാബി
playpunjabi,പ്ലേപുഞ്ചാബി
KillerMiller,കില്ലർ മില്ലർ
